id,user_id,scenario_type,event_type,event_state,event_datetime
0,"0","T2_BasicEmergency","00001","Completed","2024-9-18 14:46:31.472"
1,"0","T2_BasicEmergency","T2001","Started","2024-9-18 14:46:47.27"
2,"0","T2_BasicEmergency","T2001","Completed","2024-9-18 14:46:58.864"
3,"0","T2_BasicEmergency","T2002","Started","2024-9-18 14:46:58.870"
4,"0","T2_BasicEmergency","T2002","Completed","2024-9-18 14:47:39.513"
5,"0","T2_BasicEmergency","T2003","Started","2024-9-18 14:47:39.514"
6,"0","T2_BasicEmergency","T2003","Completed","2024-9-18 14:47:52.632"
7,"0","T2_BasicEmergency","T2004","Started","2024-9-18 14:47:52.633"
8,"0","T2_BasicEmergency","T2004","Completed","2024-9-18 14:48:3.504"
9,"0","T2_BasicEmergency","T2005","Started","2024-9-18 14:48:3.505"
10,"0","T2_BasicEmergency","T2005","Completed","2024-9-18 14:48:16.393"
11,"0","T2_BasicEmergency","00002","Completed","2024-9-18 14:48:29.590"
12,"0","S2_BasicEmergency","00001","Completed","2024-9-18 14:48:31.662"
13,"1","T2_BasicEmergency","00001","Completed","2024-9-18 15:4:5.255"
14,"1","T2_BasicEmergency","T2001","Started","2024-9-18 15:4:20.732"
15,"1","T2_BasicEmergency","T2001","Completed","2024-9-18 15:4:34.745"
16,"1","T2_BasicEmergency","T2002","Started","2024-9-18 15:4:34.745"
17,"1","T2_BasicEmergency","T2002","Completed","2024-9-18 15:5:16.475"
18,"1","T2_BasicEmergency","T2003","Started","2024-9-18 15:5:16.476"
19,"1","T2_BasicEmergency","T2003","Completed","2024-9-18 15:5:31.295"
20,"1","T2_BasicEmergency","T2004","Started","2024-9-18 15:5:31.296"
21,"1","T2_BasicEmergency","T2004","Completed","2024-9-18 15:5:44.488"
22,"1","T2_BasicEmergency","T2005","Started","2024-9-18 15:5:44.489"
23,"1","T2_BasicEmergency","T2005","Completed","2024-9-18 15:6:3.837"
24,"1","T2_BasicEmergency","00002","Completed","2024-9-18 15:6:16.876"
25,"2","T2_BasicEmergency","00001","Completed","2024-9-18 15:8:27.866"
26,"3","T2_BasicEmergency","00001","Completed","2024-9-18 15:27:32.216"
27,"4","T2_BasicEmergency","00001","Completed","2024-9-18 15:28:29.34"
28,"4","T2_BasicEmergency","T2001","Started","2024-9-18 15:28:44.667"
29,"4","T2_BasicEmergency","T2001","Completed","2024-9-18 15:29:5.169"
30,"4","T2_BasicEmergency","T2002","Started","2024-9-18 15:29:5.170"
31,"4","T2_BasicEmergency","T2002","Completed","2024-9-18 15:29:51.965"
32,"4","T2_BasicEmergency","T2003","Started","2024-9-18 15:29:51.966"
33,"4","T2_BasicEmergency","T2003","Completed","2024-9-18 15:30:13.926"
34,"4","T2_BasicEmergency","T2004","Started","2024-9-18 15:30:13.927"
35,"4","T2_BasicEmergency","T2004","Completed","2024-9-18 15:30:25.143"
36,"4","T2_BasicEmergency","T2005","Started","2024-9-18 15:30:25.144"
37,"4","T2_BasicEmergency","T2005","Completed","2024-9-18 15:30:34.109"
38,"4","T2_BasicEmergency","00002","Completed","2024-9-18 15:30:46.524"
39,"4","S2_BasicEmergency","00001","Completed","2024-9-18 15:30:48.605"
