id,user_id,scenario_type,tip_type,event_datetime
0,"0","LoadingScreen","Tip_Walkie","2024-3-6 14:55:17"
1,"0","LoadingScreen","Tip_RBQ","2024-3-6 14:55:44"
2,"1","LoadingScreen","Tip_Walkie","2024-3-6 14:57:7"
3,"1","LoadingScreen","Tip_RBQ","2024-3-6 14:57:11"
4,"1","LoadingScreen","Tip_EPD","2024-3-6 14:57:18"
5,"1","LoadingScreen","Tip_Fuentes","2024-3-6 14:57:30"
6,"1","LoadingScreen","Tip_Distancia","2024-3-6 14:57:42"
7,"1","LoadingScreen","Tip_EmergenciaRadiologica","2024-3-6 14:57:56"
8,"1","LoadingScreen","Tip_ConoTrafico","2024-3-6 14:58:15"
9,"1","LoadingScreen","Tip_Pinzas","2024-3-6 14:58:24"
10,"1","LoadingScreen","Tip_Sanitarios","2024-3-6 14:59:0"
11,"1","LoadingScreen","Tip_Zonificar","2024-3-6 14:59:19"
12,"1","LoadingScreen","Tip_MinExposicion","2024-3-6 14:59:37"
13,"1","LoadingScreen","Tip_30Min","2024-3-6 14:59:46"
14,"1","LoadingScreen","Tip_EvitarAcceso","2024-3-6 15:0:1"
15,"1","LoadingScreen","Tip_SinEquipo","2024-3-6 15:0:17"
16,"1","LoadingScreen","Tip_Walkie","2024-3-6 15:0:26"
