id,user_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"9999","Develop","[0.084817;0.081347;0.080899;0.080909;0.080896;0.080899;0.080903;0.080909;0.080904;0.080907;]","[0.0;0.000018;0.000039;0.000051;0.000063;0.000075;0.000087;0.000099;0.000111;0.000123;]","[(-14021.767578;9922.016602);(-14083.508789;9902.742188);(-14091.65918;9899.585938);(-14091.629883;9899.549805);(-14091.65625;9899.603516);(-14091.638672;9899.600586);(-14091.570312;9899.625);(-14091.495117;9899.641602);(-14091.396484;9899.734375);(-14091.40625;9899.71582);]","[2024-2-19 11:46:29;2024-2-19 11:46:30;2024-2-19 11:46:30;2024-2-19 11:46:31;2024-2-19 11:46:31;2024-2-19 11:46:32;2024-2-19 11:46:32;2024-2-19 11:46:33;2024-2-19 11:46:33;2024-2-19 11:46:34;]"
1,"9999","Develop","[0.080901;0.081011;0.081073;0.081325;0.081268;0.081766;0.081481;0.081307;0.081194;0.081203;]","[0.000135;0.000147;0.000159;0.000172;0.000184;0.000196;0.000208;0.000221;0.000233;0.000245;]","[(-14091.564453;9899.638672);(-14090.950195;9899.461914);(-14090.766602;9899.250977);(-14089.549805;9898.717773);(-14089.789062;9898.863281);(-14087.738281;9897.588867);(-14088.825195;9898.374023);(-14089.614258;9898.770508);(-14090.008789;9899.110352);(-14089.986328;9899.076172);]","[2024-2-19 11:46:34;2024-2-19 11:46:35;2024-2-19 11:46:36;2024-2-19 11:46:36;2024-2-19 11:46:37;2024-2-19 11:46:37;2024-2-19 11:46:38;2024-2-19 11:46:38;2024-2-19 11:46:39;2024-2-19 11:46:39;]"
2,"9999","Develop","[0.081209;0.081215;0.081216;0.081225;0.081303;0.081323;0.081357;0.081773;0.0816;0.081728;]","[0.000257;0.000269;0.000281;0.000293;0.000305;0.000317;0.000329;0.000341;0.000354;0.000366;]","[(-14089.923828;9899.085938);(-14089.894531;9899.077148);(-14089.90332;9899.063477);(-14089.859375;9899.047852);(-14089.476562;9898.882812);(-14089.416016;9898.817383);(-14089.223633;9898.766602);(-14087.648438;9897.609375);(-14088.027344;9898.271484);(-14087.389648;9898.020508);]","[2024-2-19 11:46:40;2024-2-19 11:46:40;2024-2-19 11:46:41;2024-2-19 11:46:41;2024-2-19 11:46:42;2024-2-19 11:46:42;2024-2-19 11:46:43;2024-2-19 11:46:43;2024-2-19 11:46:44;2024-2-19 11:46:44;]"
3,"9999","Develop","[0.084817;0.079224;0.079224;0.082057;0.081875;0.081811;0.081702;0.081677;0.081638;0.081625;]","[0.0;0.000011;0.000023;0.000034;0.000046;0.000058;0.00007;0.000082;0.000095;0.000107;]","[(-14021.767578;9922.016602);(-14087.558594;9911.414062);(-14087.558594;9911.414062);(-14086.160156;9897.120117);(-14087.005859;9897.516602);(-14087.291016;9897.665039);(-14087.401367;9898.166016);(-14087.416016;9898.289062);(-14087.439453;9898.478516);(-14087.46582;9898.52832);]","[2024-2-19 11:47:27;2024-2-19 11:47:28;2024-2-19 11:47:29;2024-2-19 11:47:29;2024-2-19 11:47:30;2024-2-19 11:47:30;2024-2-19 11:47:31;2024-2-19 11:47:31;2024-2-19 11:47:32;2024-2-19 11:47:32;]"
4,"9999","Develop","[0.081617;0.081615;0.081606;0.081601;0.081623;0.081658;0.081634;0.081622;0.081631;0.081653;]","[0.000119;0.000131;0.000143;0.000155;0.000167;0.000179;0.000192;0.000204;0.000216;0.000229;]","[(-14087.395508;9898.619141);(-14087.395508;9898.632812);(-14087.432617;9898.654297);(-14087.442383;9898.673828);(-14087.381836;9898.598633);(-14087.142578;9898.573242);(-14087.179688;9898.674805);(-14087.202148;9898.719727);(-14087.145508;9898.714844);(-14087.040039;9898.667969);]","[2024-2-19 11:47:33;2024-2-19 11:47:33;2024-2-19 11:47:34;2024-2-19 11:47:34;2024-2-19 11:47:35;2024-2-19 11:47:35;2024-2-19 11:47:36;2024-2-19 11:47:36;2024-2-19 11:47:37;2024-2-19 11:47:37;]"
5,"9999","Develop","[0.084817;0.076721;0.076705;0.084784;0.070195;0.070195;0.070195;0.08065;0.080608;0.080589;]","[0.0;0.000011;0.000023;0.000035;0.000045;0.000055;0.000065;0.000077;0.000089;0.000101;]","[(-14021.767578;9922.016602);(-14097.129883;9919.375977);(-14097.129883;9919.375977);(-14021.767578;9922.016602);(-14105.527344;9954.00293);(-14105.527344;9954.00293);(-14105.527344;9954.00293);(-14089.496094;9902.394531);(-14089.567383;9902.577148);(-14089.427734;9902.770508);]","[2024-2-19 11:50:13;2024-2-19 11:50:13;2024-2-19 11:50:14;2024-2-19 11:50:14;2024-2-19 11:50:15;2024-2-19 11:50:15;2024-2-19 11:50:16;2024-2-19 11:50:16;2024-2-19 11:50:17;2024-2-19 11:50:17;]"
6,"9999","Develop","[0.080584;0.080546;0.080586;0.080557;0.080578;0.080629;0.080661;0.08065;0.080614;0.080619;]","[0.000113;0.000124;0.000136;0.000148;0.000161;0.000173;0.000185;0.000197;0.000209;0.000222;]","[(-14089.314453;9902.87207);(-14089.349609;9903.056641);(-14089.204102;9902.933594);(-14089.270508;9903.045898);(-14089.191406;9902.985352);(-14088.930664;9902.883789);(-14088.858398;9902.757812);(-14088.833984;9902.833984);(-14088.898438;9902.986328);(-14088.845703;9902.993164);]","[2024-2-19 11:50:18;2024-2-19 11:50:18;2024-2-19 11:50:19;2024-2-19 11:50:19;2024-2-19 11:50:20;2024-2-19 11:50:20;2024-2-19 11:50:21;2024-2-19 11:50:21;2024-2-19 11:50:22;2024-2-19 11:50:22;]"
7,"9999","Develop","[0.080542;0.080515;0.080523;0.080527;0.080539;0.080533;0.080519;0.08054;0.080472;0.080504;]","[0.000234;0.000246;0.000258;0.00027;0.000282;0.000294;0.000307;0.000319;0.000331;0.000344;]","[(-14088.954102;9903.339844);(-14088.974609;9903.470703);(-14088.984375;9903.417969);(-14088.950195;9903.421875);(-14088.90332;9903.389648);(-14088.951172;9903.388672);(-14088.980469;9903.447266);(-14088.936523;9903.360352);(-14089.030273;9903.665039);(-14088.908203;9903.570312);]","[2024-2-19 11:50:23;2024-2-19 11:50:23;2024-2-19 11:50:24;2024-2-19 11:50:24;2024-2-19 11:50:25;2024-2-19 11:50:25;2024-2-19 11:50:26;2024-2-19 11:50:27;2024-2-19 11:50:27;2024-2-19 11:50:28;]"
8,"9999","Develop","[0.080531;0.08052;0.080508;0.080466;0.0805;0.080503;0.080505;0.080458;0.080449;0.080443;]","[0.000356;0.000368;0.00038;0.000392;0.000404;0.000416;0.000427;0.000439;0.000452;0.000463;]","[(-14088.80957;9903.494141);(-14088.851562;9903.526367);(-14088.927734;9903.540039);(-14089.00293;9903.714844);(-14088.904297;9903.598633);(-14088.841797;9903.62207);(-14088.834961;9903.617188);(-14088.942383;9903.797852);(-14088.949219;9903.841797);(-14088.958984;9903.869141);]","[2024-2-19 11:50:28;2024-2-19 11:50:29;2024-2-19 11:50:29;2024-2-19 11:50:30;2024-2-19 11:50:30;2024-2-19 11:50:31;2024-2-19 11:50:31;2024-2-19 11:50:32;2024-2-19 11:50:32;2024-2-19 11:50:33;]"
9,"9999","Develop","[0.080446;0.080474;0.08051;0.080474;0.080442;0.080387;0.08041;0.080414;0.080428;0.080433;]","[0.000476;0.000488;0.0005;0.000512;0.000524;0.000536;0.000548;0.00056;0.000572;0.000584;]","[(-14088.972656;9903.844727);(-14088.955078;9903.704102);(-14088.795898;9903.612305);(-14088.902344;9903.739258);(-14089.033203;9903.827148);(-14089.171875;9904.033203);(-14089.157227;9903.915039);(-14089.128906;9903.913086);(-14089.082031;9903.869141);(-14089.121094;9903.816406);]","[2024-2-19 11:50:33;2024-2-19 11:50:34;2024-2-19 11:50:34;2024-2-19 11:50:35;2024-2-19 11:50:35;2024-2-19 11:50:36;2024-2-19 11:50:36;2024-2-19 11:50:37;2024-2-19 11:50:37;2024-2-19 11:50:38;]"
