id,user_name,user_group,event_datetime
0,"jn_0","TS","2024-9-5 17:0:6.558"
1,"iuko_0","TS","2024-9-5 17:13:4.836"
2,"wqe_0","TS","2024-9-6 8:48:53.385"
3,"hn_0","TS","2024-9-6 8:49:40.858"
4,"  _0","TS","2024-9-6 8:52:22.910"
5,"jkm,._0",.","TS","2024-9-6 8:55:38.617"
6,"iii_0","TSV","2024-9-6 13:54:7.28"
7,"nhjbb_0","TSV","2024-9-10 11:53:12.727"
8,"cvc_0","TSV","2024-9-10 12:9:42.94"
9,"vvg_0","TSV","2024-9-12 13:3:52.918"
10,"hjuiu_0","TSV","2024-9-12 14:35:1.330"
11,"edrrr_0","TSV","2024-9-12 15:55:35.952"
12,"q_1","TSV","2024-9-12 17:34:57.884"
