0,1,2,3,4,5,6,7,8,9,10
15,0,0,0,0,3,508,53,0,0,0
0,0,0,0,0,0,509,53,0,0,0
1,0,0,0,0,0,508,53,0,0,0
2,0,0,0,0,0,508,54,0,0,0
3,0,0,0,0,3,510,55,0,0,0
4,0,0,0,0,0,508,56,0,0,0
5,0,0,0,0,0,509,56,0,0,0
6,0,0,0,0,0,510,55,0,0,0
7,0,0,0,0,3,505,56,0,0,0
8,0,0,0,0,0,507,55,0,0,0
9,0,0,0,0,0,504,56,0,0,0
10,0,0,0,0,0,498,56,0,0,0
11,0,0,0,0,3,495,55,0,0,0
12,0,0,0,0,0,496,55,0,0,0
13,0,0,0,0,0,496,56,0,0,0
14,0,0,0,0,0,504,56,0,0,0
15,0,0,0,0,3,508,56,0,0,0
0,0,0,0,0,0,515,55,0,0,0
1,0,0,0,0,0,524,53,0,0,0
2,0,0,0,0,0,524,53,0,0,0
3,0,0,0,0,3,524,55,0,0,0
4,0,0,0,0,0,524,55,0,0,0
5,0,0,0,0,0,522,55,0,0,0
6,0,0,0,0,0,522,53,0,0,0
7,0,0,0,0,3,524,56,0,0,0
8,0,0,0,0,0,524,55,0,0,0
9,0,0,0,0,0,517,53,0,0,0
10,0,0,0,0,0,460,54,0,0,0
11,0,0,0,0,3,441,55,0,0,0
12,0,0,0,0,0,505,53,0,0,0
13,0,0,0,0,0,579,56,0,0,0
14,0,0,0,0,0,512,55,0,0,0
15,0,0,0,0,3,514,56,0,0,0
0,0,0,0,0,0,524,53,0,0,0
1,0,0,0,0,0,527,54,0,0,0
2,0,0,0,0,0,530,55,0,0,0
3,0,0,0,0,3,529,55,0,0,0
4,0,0,0,0,0,530,55,0,0,0
5,0,0,0,0,0,526,54,0,0,0
6,0,0,0,0,0,523,54,0,0,0
7,0,0,0,0,1,520,52,0,0,0
8,0,0,0,0,0,519,53,0,0,0
9,0,0,0,0,0,515,55,0,0,0
10,0,0,0,0,0,511,55,0,0,0
11,0,0,0,0,3,510,55,0,0,0
12,0,0,0,0,0,505,55,0,0,0
13,0,0,0,0,0,503,54,0,0,0
14,0,0,0,0,0,502,52,0,0,0
15,0,0,0,0,3,495,53,0,0,0
0,0,0,0,0,0,488,54,0,0,0
1,0,0,0,0,0,487,55,0,0,0
2,0,0,0,0,0,484,54,0,0,0
3,0,0,0,0,3,485,55,0,0,0
4,0,0,0,0,0,486,55,0,0,0
5,0,0,0,0,0,495,54,0,0,0
6,0,0,0,0,0,505,55,0,0,0
7,0,0,0,0,3,515,55,0,0,0
8,0,0,0,0,0,525,55,0,0,0
9,0,0,0,0,0,528,55,0,0,0
10,0,0,0,0,0,530,55,0,0,0
11,0,0,0,0,1,528,54,0,0,0
12,0,0,0,0,0,524,53,0,0,0
13,0,0,0,0,0,519,52,0,0,0
14,0,0,0,0,0,519,53,0,0,0
15,0,0,0,0,3,515,53,0,0,0
0,0,0,0,0,0,515,55,0,0,0
1,0,0,0,0,0,513,55,0,0,0
2,0,0,0,0,0,511,55,0,0,0
3,0,0,0,0,3,511,55,0,0,0
4,0,0,0,0,0,508,55,0,0,0
5,0,0,0,0,0,510,55,0,0,0
6,0,0,0,0,0,510,54,0,0,0
7,0,0,0,0,3,514,54,0,0,0
8,0,0,0,0,0,514,52,0,0,0
9,0,0,0,0,0,514,55,0,0,0
10,0,0,0,0,0,510,55,0,0,0
11,0,0,0,0,3,504,55,0,0,0
12,0,0,0,0,0,503,53,0,0,0
13,0,0,0,0,0,500,53,0,0,0
14,0,0,0,0,0,498,52,0,0,0
15,0,0,0,0,3,500,54,0,0,0
0,0,0,0,0,0,498,54,0,0,0
1,0,0,0,0,0,501,55,0,0,0
2,0,0,0,0,0,499,56,0,0,0
3,0,0,0,0,3,501,55,0,0,0
4,0,0,0,0,0,502,55,0,0,0
5,0,0,0,0,0,501,55,0,0,0
6,0,0,0,0,0,502,55,0,0,0
7,0,0,0,0,3,505,54,0,0,0
8,0,0,0,0,0,505,55,0,0,0
9,0,0,0,0,0,509,55,0,0,0
10,0,0,0,0,0,510,55,0,0,0
11,0,0,0,0,3,507,54,0,0,0
12,0,0,0,0,0,508,53,0,0,0
13,0,0,0,0,0,511,53,0,0,0
14,0,0,0,0,0,512,55,0,0,0
15,0,0,0,0,3,514,55,0,0,0
0,0,0,0,0,0,512,54,0,0,0
1,0,0,0,0,0,511,53,0,0,0
2,0,0,0,0,0,508,54,0,0,0
3,0,0,0,0,3,508,54,0,0,0
4,0,0,0,0,0,512,53,0,0,0
5,0,0,0,0,0,511,52,0,0,0
6,0,0,0,0,0,512,53,0,0,0
7,0,0,0,0,0,512,55,0,0,0
8,0,0,0,0,0,512,55,0,0,0
9,0,0,0,0,0,511,55,0,0,0
10,0,0,0,0,0,507,53,0,0,0
11,0,0,0,0,3,503,53,0,0,0
12,0,0,0,0,0,502,53,0,0,0
13,0,0,0,0,0,503,53,0,0,0
14,0,0,0,0,0,499,53,0,0,0
15,0,0,0,0,3,502,52,0,0,0
0,0,0,0,0,0,504,55,0,0,0
1,0,0,0,0,0,514,55,0,0,0
2,0,0,0,0,0,515,55,0,0,0
3,0,0,0,0,3,515,54,0,0,0
4,0,0,0,0,0,512,52,0,0,0
5,0,0,0,0,0,513,53,0,0,0
6,0,0,0,0,0,515,52,0,0,0
7,0,0,0,0,3,516,52,0,0,0
8,0,0,0,0,0,518,52,0,0,0
9,0,0,0,0,0,524,55,0,0,0
10,0,0,0,0,0,513,53,0,0,0
11,0,0,0,0,3,450,52,0,0,0
12,0,0,0,0,0,445,52,0,0,0
13,0,0,0,0,0,522,52,0,0,0
14,0,0,0,0,0,566,54,0,0,0
15,0,0,0,0,3,505,54,0,0,0
0,0,0,0,0,0,515,54,0,0,0
1,0,0,0,0,0,520,55,0,0,0
2,0,0,0,0,0,517,55,0,0,0
3,0,0,0,0,3,518,54,0,0,0
4,0,0,0,0,0,517,52,0,0,0
5,0,0,0,0,0,513,52,0,0,0
6,0,0,0,0,0,508,54,0,0,0
7,0,0,0,0,3,502,55,0,0,0
8,0,0,0,0,0,500,55,0,0,0
9,0,0,0,0,0,496,55,0,0,0
10,0,0,0,0,0,496,55,0,0,0
11,0,0,0,0,3,492,54,0,0,0
12,0,0,0,0,0,493,55,0,0,0
13,0,0,0,0,0,490,55,0,0,0
14,0,0,0,0,0,486,55,0,0,0
15,0,0,0,0,3,480,54,0,0,0
0,0,0,0,0,0,477,54,0,0,0
1,0,0,0,0,0,476,52,0,0,0
2,0,0,0,0,0,478,55,0,0,0
3,0,0,0,0,1,475,55,0,0,0
4,0,0,0,0,0,473,53,0,0,0
5,0,0,0,0,0,476,54,0,0,0
6,0,0,0,0,1,478,55,0,0,0
7,0,0,0,0,3,485,52,0,0,0
8,0,0,0,0,0,491,54,0,0,0
9,0,0,0,0,0,497,55,0,0,0
10,0,0,0,0,0,500,54,0,0,0
11,0,0,0,0,3,499,52,0,0,0
12,0,0,0,0,0,502,54,0,0,0
13,0,0,0,0,0,499,55,0,0,0
14,0,0,0,0,0,499,55,0,0,0
15,0,0,0,0,3,495,54,0,0,0
0,0,0,0,0,0,495,54,0,0,0
1,0,0,0,0,0,491,54,0,0,0
2,0,0,0,0,0,487,54,0,0,0
3,0,0,0,0,3,484,52,0,0,0
4,0,0,0,0,0,479,52,0,0,0
5,0,0,0,0,0,475,53,0,0,0
6,0,0,0,0,0,472,54,0,0,0
7,0,0,0,0,3,472,52,0,0,0
8,0,0,0,0,1,470,52,0,0,0
9,0,0,0,0,0,467,52,0,0,0
10,0,0,0,0,0,466,52,0,0,0
11,0,0,0,0,3,467,54,0,0,0
12,0,0,0,0,0,466,55,0,0,0
13,0,0,0,0,0,467,53,0,0,0
14,0,0,0,0,0,468,52,0,0,0
15,0,0,0,0,3,474,53,0,0,0
0,0,0,0,0,0,475,54,0,0,0
1,0,0,0,0,0,472,55,0,0,0
2,0,0,0,0,0,468,52,0,0,0
3,0,0,0,0,3,468,54,0,0,0
4,0,0,0,0,0,472,55,0,0,0
5,0,0,0,0,0,471,52,0,0,0
6,0,0,0,0,0,472,53,0,0,0
7,0,0,0,0,3,473,54,0,0,0
8,0,0,0,0,0,470,54,0,0,0
9,0,0,0,0,0,468,54,0,0,0
10,0,0,0,0,0,470,55,0,0,0
11,0,0,0,0,3,474,54,0,0,0
12,0,0,0,0,0,479,54,0,0,0
13,0,0,0,0,0,479,54,0,0,0
14,0,0,0,0,0,481,54,0,0,0
15,0,0,0,0,1,487,55,0,0,0
0,0,0,0,0,0,487,54,0,0,0
1,0,0,0,0,0,480,54,0,0,0
2,0,0,0,0,0,480,54,0,0,0
3,0,0,0,0,3,478,55,0,0,0
4,0,0,0,0,0,485,54,0,0,0
5,0,0,0,0,0,487,52,0,0,0
6,0,0,0,0,0,483,52,0,0,0
7,0,0,0,0,3,487,53,0,0,0
8,0,0,0,0,0,480,54,0,0,0
9,0,0,0,0,0,480,54,0,0,0
10,0,0,0,0,0,483,54,0,0,0
11,0,0,0,0,3,479,53,0,0,0
12,0,0,0,0,0,487,52,0,0,0
13,0,0,0,0,0,492,52,0,0,0
14,0,0,0,0,0,502,52,0,0,0
15,0,0,0,0,3,509,52,0,0,0
0,0,0,0,0,0,515,52,0,0,0
1,0,0,0,0,0,513,53,0,0,0
2,0,0,0,0,0,512,54,0,0,0
3,0,0,0,0,3,514,54,0,0,0
4,0,0,0,0,0,514,54,0,0,0
5,0,0,0,0,0,515,53,0,0,0
6,0,0,0,0,0,525,53,0,0,0
7,0,0,0,0,3,515,53,0,0,0
8,0,0,0,0,0,450,52,0,0,0
9,0,0,0,0,0,442,52,0,0,0
10,0,0,0,0,0,519,52,0,0,0
11,0,0,0,0,3,585,54,0,0,0
12,0,0,0,0,0,519,54,0,0,0
13,0,0,0,0,0,522,53,0,0,0
14,0,0,0,0,0,535,55,0,0,0
15,0,0,0,0,3,534,53,0,0,0
0,0,0,0,0,0,531,51,0,0,0
1,0,0,0,0,0,535,53,0,0,0
2,0,0,0,0,0,538,55,0,0,0
3,0,0,0,0,3,539,55,0,0,0
4,0,0,0,0,0,537,54,0,0,0
5,0,0,0,0,0,540,55,0,0,0
6,0,0,0,0,0,540,54,0,0,0
7,0,0,0,0,3,535,54,0,0,0
8,0,0,0,0,0,536,53,0,0,0
9,0,0,0,0,0,536,52,0,0,0
10,0,0,0,0,0,533,54,0,0,0
11,0,0,0,0,1,531,55,0,0,0
12,0,0,0,0,0,527,52,0,0,0
13,0,0,0,0,0,523,54,0,0,0
14,0,0,0,0,0,521,55,0,0,0
15,0,0,0,0,3,518,53,0,0,0
0,0,0,0,0,0,523,53,0,0,0
1,0,0,0,0,0,531,53,0,0,0
2,0,0,0,0,0,533,53,0,0,0
3,0,0,0,0,3,539,55,0,0,0
4,0,0,0,0,0,543,55,0,0,0
5,0,0,0,0,0,548,55,0,0,0
6,0,0,0,0,0,553,54,0,0,0
7,0,0,0,0,3,560,54,0,0,0
8,0,0,0,0,0,556,55,0,0,0
9,0,0,0,0,0,552,54,0,0,0
10,0,0,0,0,0,548,55,0,0,0
11,0,0,0,0,3,550,55,0,0,0
12,0,0,0,0,0,551,53,0,0,0
13,0,0,0,0,0,547,53,0,0,0
14,0,0,0,0,0,543,54,0,0,0
15,0,0,0,0,3,541,56,0,0,0
0,0,0,0,0,0,542,54,0,0,0
1,0,0,0,0,0,545,53,0,0,0
2,0,0,0,0,0,547,56,0,0,0
3,0,0,0,0,3,545,56,0,0,0
4,0,0,0,0,0,544,55,0,0,0
5,0,0,0,0,0,543,55,0,0,0
6,0,0,0,0,0,542,55,0,0,0
7,0,0,0,0,3,541,55,0,0,0
8,0,0,0,0,0,542,56,0,0,0
9,0,0,0,0,0,543,56,0,0,0
10,0,0,0,0,0,545,54,0,0,0
11,0,0,0,0,3,546,56,0,0,0
12,0,0,0,0,0,545,57,0,0,0
13,0,0,0,0,0,545,56,0,0,0
14,0,0,0,0,0,541,57,0,0,0
15,0,0,0,0,3,537,55,0,0,0
0,0,0,0,0,0,539,54,0,0,0
1,0,0,0,0,0,539,56,0,0,0
2,0,0,0,0,0,535,57,0,0,0
3,0,0,0,0,3,531,55,0,0,0
4,0,0,0,0,0,527,54,0,0,0
5,0,0,0,0,0,529,55,0,0,0
6,0,0,0,0,0,531,57,0,0,0
7,0,0,0,0,0,529,56,0,0,0
8,0,0,0,0,0,532,55,0,0,0
9,0,0,0,0,0,531,58,0,0,0
10,0,0,0,0,0,534,55,0,0,0
11,0,0,0,0,3,532,57,0,0,0
12,0,0,0,0,0,534,55,0,0,0
13,0,0,0,0,0,535,57,0,0,0
14,0,0,0,0,0,528,58,0,0,0
15,0,0,0,0,3,523,56,0,0,0
0,0,0,0,0,0,519,57,0,0,0
1,0,0,0,0,0,508,58,0,0,0
2,0,0,0,0,0,513,56,0,0,0
3,0,0,0,0,3,518,56,0,0,0
4,0,0,0,0,0,521,56,0,0,0
5,0,0,0,0,0,534,58,0,0,0
6,0,0,0,0,0,543,58,0,0,0
7,0,0,0,0,3,540,58,0,0,0
8,0,0,0,0,0,535,59,0,0,0
9,0,0,0,0,0,529,59,0,0,0
10,0,0,0,0,0,531,59,0,0,0
11,0,0,0,0,3,533,57,0,0,0
12,0,0,0,0,0,534,57,0,0,0
13,0,0,0,0,0,529,57,0,0,0
14,0,0,0,0,0,503,59,0,0,0
15,0,0,0,0,3,459,59,0,0,0
0,0,0,0,0,0,497,59,0,0,0
1,0,0,0,0,0,578,58,0,0,0
2,0,0,0,0,0,559,58,0,0,0
3,0,0,0,0,3,511,57,0,0,0
4,0,0,0,0,0,519,59,0,0,0
5,0,0,0,0,0,524,60,0,0,0
6,0,0,0,0,0,523,60,0,0,0
7,0,0,0,0,3,520,60,0,0,0
8,0,0,0,0,0,520,58,0,0,0
9,0,0,0,0,0,518,58,0,0,0
10,0,0,0,0,0,517,60,0,0,0
11,0,0,0,0,3,512,60,0,0,0
