0,1,2,3,4,5,6,7,8,9,10
15,0,0,0,0,3,512,49,0,0,0
0,0,0,0,0,0,510,49,0,0,0
1,0,0,0,0,0,507,46,0,0,0
2,0,0,0,0,0,503,49,0,0,0
3,0,0,0,0,0,500,47,0,0,0
4,0,0,0,0,0,501,49,0,0,0
5,0,0,0,0,0,499,46,0,0,0
6,0,0,0,0,0,505,49,0,0,0
7,0,0,0,0,3,509,48,0,0,0
8,0,0,0,0,0,510,48,0,0,0
9,0,0,0,0,0,518,49,0,0,0
10,0,0,0,0,0,525,47,0,0,0
11,0,0,0,0,3,523,49,0,0,0
12,0,0,0,0,0,524,47,0,0,0
13,0,0,0,0,0,522,48,0,0,0
14,0,0,0,0,0,523,48,0,0,0
15,0,0,0,0,3,516,49,0,0,0
0,0,0,0,0,0,519,49,0,0,0
1,0,0,0,0,0,518,49,0,0,0
2,0,0,0,0,0,505,49,0,0,0
3,0,0,0,0,3,452,49,0,0,0
4,0,0,0,0,0,472,47,0,0,0
5,0,0,0,0,0,533,49,0,0,0
6,0,0,0,0,0,550,49,0,0,0
7,0,0,0,0,3,493,48,0,0,0
8,0,0,0,0,0,507,47,0,0,0
9,0,0,0,0,0,516,49,0,0,0
10,0,0,0,0,0,519,49,0,0,0
11,0,0,0,0,3,518,49,0,0,0
12,0,0,0,0,0,518,49,0,0,0
13,0,0,0,0,0,514,48,0,0,0
14,0,0,0,0,0,515,49,0,0,0
15,0,0,0,0,3,515,49,0,0,0
0,0,0,0,0,0,514,49,0,0,0
1,0,0,0,0,0,512,48,0,0,0
2,0,0,0,0,0,511,48,0,0,0
3,0,0,0,0,3,510,48,0,0,0
4,0,0,0,0,0,508,47,0,0,0
5,0,0,0,0,0,504,49,0,0,0
6,0,0,0,0,0,501,49,0,0,0
7,0,0,0,0,3,496,49,0,0,0
8,0,0,0,0,0,493,48,0,0,0
9,0,0,0,0,0,488,47,0,0,0
10,0,0,0,0,0,488,48,0,0,0
11,0,0,0,0,3,489,48,0,0,0
12,0,0,0,0,0,494,48,0,0,0
13,0,0,0,0,0,500,48,0,0,0
14,0,0,0,0,0,508,49,0,0,0
15,0,0,0,0,1,513,49,0,0,0
0,0,0,0,0,0,518,48,0,0,0
1,0,0,0,0,0,518,47,0,0,0
2,0,0,0,0,0,516,48,0,0,0
3,0,0,0,0,3,519,49,0,0,0
4,0,0,0,0,0,520,49,0,0,0
5,0,0,0,0,0,521,49,0,0,0
6,0,0,0,0,0,520,50,0,0,0
7,0,0,0,0,3,518,49,0,0,0
8,0,0,0,0,0,515,47,0,0,0
9,0,0,0,0,0,514,49,0,0,0
10,0,0,0,0,0,515,47,0,0,0
