0,1,2,3,4,5,6,7,8,9,10
15,0,0,0,0,3,521,74,0,0,0
0,0,0,0,0,0,530,72,0,0,0
1,0,0,0,0,0,522,72,0,0,0
2,0,0,0,0,0,504,73,0,0,0
3,0,0,0,0,3,492,75,0,0,0
4,0,0,0,0,0,512,74,0,0,0
5,0,0,0,0,0,549,74,0,0,0
6,0,0,0,0,0,547,74,0,0,0
7,0,0,0,0,3,519,72,0,0,0
8,0,0,0,0,0,512,73,0,0,0
9,0,0,0,0,0,513,72,0,0,0
10,0,0,0,0,0,529,75,0,0,0
11,0,0,0,0,3,516,72,0,0,0
12,0,0,0,0,0,514,73,0,0,0
13,0,0,0,0,0,530,74,0,0,0
14,0,0,0,0,0,534,75,0,0,0
15,0,0,0,0,0,559,75,0,0,0
0,0,0,0,0,0,550,74,0,0,0
1,0,0,0,0,0,540,75,0,0,0
2,0,0,0,0,0,515,75,0,0,0
3,0,0,0,0,3,550,74,0,0,0
4,0,0,0,0,0,510,73,0,0,0
5,0,0,0,0,0,518,75,0,0,0
6,0,0,0,0,0,524,75,0,0,0
7,0,0,0,0,3,487,73,0,0,0
8,0,0,0,0,0,510,73,0,0,0
9,0,0,0,0,0,508,74,0,0,0
10,0,0,0,0,0,490,75,0,0,0
11,0,0,0,0,3,483,73,0,0,0
12,0,0,0,0,0,471,74,0,0,0
13,0,0,0,0,0,460,75,0,0,0
14,0,0,0,0,0,511,72,0,0,0
15,0,0,0,0,3,495,75,0,0,0
0,0,0,0,0,0,483,72,0,0,0
1,0,0,0,0,0,460,74,0,0,0
2,0,0,0,0,0,421,72,0,0,0
3,0,0,0,0,1,455,75,0,0,0
4,0,0,0,0,0,492,75,0,0,0
5,0,0,0,0,0,473,74,0,0,0
6,0,0,0,0,0,503,73,0,0,0
7,0,0,0,0,3,510,74,0,0,0
8,0,0,0,0,0,508,75,0,0,0
9,0,0,0,0,0,504,73,0,0,0
10,0,0,0,0,0,504,73,0,0,0
11,0,0,0,0,3,531,73,0,0,0
12,0,0,0,0,0,511,75,0,0,0
13,0,0,0,0,0,490,75,0,0,0
14,0,0,0,0,0,491,75,0,0,0
15,0,0,0,0,3,467,74,0,0,0
0,0,0,0,0,0,466,73,0,0,0
1,0,0,0,0,0,470,74,0,0,0
2,0,0,0,0,0,455,75,0,0,0
3,0,0,0,0,3,429,75,0,0,0
4,0,0,0,0,0,462,72,0,0,0
5,0,0,0,0,0,452,74,0,0,0
6,0,0,0,0,0,452,75,0,0,0
7,0,0,0,0,3,463,73,0,0,0
8,0,0,0,0,0,459,73,0,0,0
9,0,0,0,0,0,488,74,0,0,0
10,0,0,0,0,0,508,75,0,0,0
11,0,0,0,0,3,521,74,0,0,0
12,0,0,0,0,0,529,73,0,0,0
13,0,0,0,0,0,499,75,0,0,0
14,0,0,0,0,0,510,75,0,0,0
15,0,0,0,0,3,509,73,0,0,0
0,0,0,0,0,0,514,75,0,0,0
1,0,0,0,0,0,540,75,0,0,0
2,0,0,0,0,0,524,73,0,0,0
3,0,0,0,0,3,442,75,0,0,0
4,0,0,0,0,0,442,75,0,0,0
5,0,0,0,0,0,536,75,0,0,0
6,0,0,0,0,0,592,73,0,0,0
7,0,0,0,0,3,540,73,0,0,0
8,0,0,0,0,0,527,75,0,0,0
9,0,0,0,0,0,547,75,0,0,0
10,0,0,0,0,0,551,73,0,0,0
11,0,0,0,0,3,548,75,0,0,0
12,0,0,0,0,0,537,76,0,0,0
13,0,0,0,0,0,536,76,0,0,0
14,0,0,0,0,0,541,74,0,0,0
15,0,0,0,0,0,543,74,0,0,0
0,0,0,0,0,0,542,73,0,0,0
1,0,0,0,0,0,536,74,0,0,0
2,0,0,0,0,0,546,76,0,0,0
3,0,0,0,0,3,543,75,0,0,0
4,0,0,0,0,0,546,76,0,0,0
5,0,0,0,0,0,531,76,0,0,0
6,0,0,0,0,0,518,76,0,0,0
7,0,0,0,0,3,505,76,0,0,0
8,0,0,0,0,0,523,74,0,0,0
9,0,0,0,0,0,529,77,0,0,0
10,0,0,0,0,0,522,77,0,0,0
11,0,0,0,0,3,511,75,0,0,0
