0,1,2,3,4,5,6,7,8,9,10
11,0,0,0,0,3,535,52,0,0,0
12,0,0,0,0,0,531,50,0,0,0
13,0,0,0,0,0,528,52,0,0,0
14,0,0,0,0,0,519,52,0,0,0
15,0,0,0,0,3,516,52,0,0,0
0,0,0,0,0,0,507,49,0,0,0
1,0,0,0,0,0,509,52,0,0,0
2,0,0,0,0,0,503,51,0,0,0
3,0,0,0,0,3,498,49,0,0,0
4,0,0,0,0,0,491,49,0,0,0
5,0,0,0,0,0,496,50,0,0,0
6,0,0,0,0,0,489,52,0,0,0
7,0,0,0,0,3,491,52,0,0,0
8,0,0,0,0,0,492,51,0,0,0
9,0,0,0,0,0,501,49,0,0,0
10,0,0,0,0,0,497,51,0,0,0
11,0,0,0,0,3,495,52,0,0,0
12,0,0,0,0,0,488,51,0,0,0
13,0,0,0,0,0,491,50,0,0,0
14,0,0,0,0,0,485,51,0,0,0
15,0,0,0,0,3,491,52,0,0,0
0,0,0,0,0,0,484,50,0,0,0
1,0,0,0,0,0,487,50,0,0,0
2,0,0,0,0,0,480,51,0,0,0
3,0,0,0,0,3,482,52,0,0,0
4,0,0,0,0,0,480,52,0,0,0
5,0,0,0,0,0,484,51,0,0,0
6,0,0,0,0,0,487,52,0,0,0
7,0,0,0,0,3,497,52,0,0,0
8,0,0,0,0,0,499,50,0,0,0
9,0,0,0,0,0,503,49,0,0,0
10,0,0,0,0,0,496,51,0,0,0
11,0,0,0,0,0,498,52,0,0,0
12,0,0,0,0,0,492,52,0,0,0
13,0,0,0,0,0,492,52,0,0,0
14,0,0,0,0,0,487,50,0,0,0
15,0,0,0,0,3,486,50,0,0,0
0,0,0,0,0,0,483,50,0,0,0
1,0,0,0,0,0,489,50,0,0,0
2,0,0,0,0,0,492,52,0,0,0
3,0,0,0,0,3,512,52,0,0,0
4,0,0,0,0,0,519,50,0,0,0
5,0,0,0,0,0,526,50,0,0,0
6,0,0,0,0,0,525,51,0,0,0
7,0,0,0,0,3,532,49,0,0,0
8,0,0,0,0,0,530,51,0,0,0
9,0,0,0,0,0,535,51,0,0,0
10,0,0,0,0,0,535,52,0,0,0
11,0,0,0,0,3,538,53,0,0,0
12,0,0,0,0,0,485,52,0,0,0
13,0,0,0,0,0,440,52,0,0,0
14,0,0,0,0,0,474,50,0,0,0
15,0,0,0,0,3,574,51,0,0,0
0,0,0,0,0,0,524,52,0,0,0
1,0,0,0,0,0,510,52,0,0,0
2,0,0,0,0,0,520,52,0,0,0
3,0,0,0,0,3,522,51,0,0,0
4,0,0,0,0,0,512,51,0,0,0
5,0,0,0,0,0,509,52,0,0,0
6,0,0,0,0,0,507,52,0,0,0
7,0,0,0,0,3,520,52,0,0,0
8,0,0,0,0,0,519,52,0,0,0
9,0,0,0,0,0,520,52,0,0,0
10,0,0,0,0,0,517,52,0,0,0
11,0,0,0,0,3,515,53,0,0,0
12,0,0,0,0,0,505,52,0,0,0
13,0,0,0,0,0,508,52,0,0,0
14,0,0,0,0,0,498,53,0,0,0
15,0,0,0,0,3,499,52,0,0,0
0,0,0,0,0,0,504,50,0,0,0
1,0,0,0,0,0,515,50,0,0,0
2,0,0,0,0,0,511,52,0,0,0
3,0,0,0,0,3,513,52,0,0,0
4,0,0,0,0,0,507,51,0,0,0
5,0,0,0,0,0,510,51,0,0,0
6,0,0,0,0,0,506,51,0,0,0
7,0,0,0,0,1,519,50,0,0,0
8,0,0,0,0,0,526,50,0,0,0
9,0,0,0,0,0,540,50,0,0,0
10,0,0,0,0,0,539,50,0,0,0
11,0,0,0,0,3,550,51,0,0,0
12,0,0,0,0,0,546,52,0,0,0
13,0,0,0,0,0,545,52,0,0,0
14,0,0,0,0,0,531,52,0,0,0
15,0,0,0,0,3,529,52,0,0,0
0,0,0,0,0,0,527,52,0,0,0
1,0,0,0,0,0,526,52,0,0,0
2,0,0,0,0,0,519,52,0,0,0
3,0,0,0,0,3,521,50,0,0,0
4,0,0,0,0,0,515,50,0,0,0
5,0,0,0,0,0,505,51,0,0,0
6,0,0,0,0,0,494,53,0,0,0
7,0,0,0,0,3,499,52,0,0,0
8,0,0,0,0,0,495,52,0,0,0
9,0,0,0,0,0,501,51,0,0,0
10,0,0,0,0,0,494,52,0,0,0
