0,1,2,3,4,5,6,7,8,9,10
15,0,0,0,0,3,500,57,0,0,0
0,0,0,0,0,0,508,58,0,0,0
1,0,0,0,0,0,510,58,0,0,0
2,0,0,0,0,0,520,58,0,0,0
3,0,0,0,0,3,521,55,0,0,0
4,0,0,0,0,0,521,56,0,0,0
5,0,0,0,0,0,519,57,0,0,0
6,0,0,0,0,0,518,58,0,0,0
7,0,0,0,0,3,514,56,0,0,0
8,0,0,0,0,0,518,56,0,0,0
9,0,0,0,0,0,519,58,0,0,0
10,0,0,0,0,0,520,58,0,0,0
11,0,0,0,0,3,520,57,0,0,0
12,0,0,0,0,0,523,57,0,0,0
13,0,0,0,0,0,523,58,0,0,0
14,0,0,0,0,0,520,56,0,0,0
15,0,0,0,0,1,516,58,0,0,0
0,0,0,0,0,0,522,58,0,0,0
1,0,0,0,0,0,520,56,0,0,0
2,0,0,0,0,0,524,59,0,0,0
3,0,0,0,0,3,519,58,0,0,0
4,0,0,0,0,0,521,57,0,0,0
5,0,0,0,0,0,520,56,0,0,0
6,0,0,0,0,0,521,58,0,0,0
7,0,0,0,0,3,519,56,0,0,0
8,0,0,0,0,0,522,56,0,0,0
9,0,0,0,0,0,518,58,0,0,0
10,0,0,0,0,0,518,59,0,0,0
11,0,0,0,0,3,515,56,0,0,0
12,0,0,0,0,0,516,56,0,0,0
13,0,0,0,0,0,517,57,0,0,0
14,0,0,0,0,0,519,58,0,0,0
15,0,0,0,0,3,515,58,0,0,0
0,0,0,0,0,0,515,56,0,0,0
1,0,0,0,0,0,510,56,0,0,0
2,0,0,0,0,0,511,58,0,0,0
3,0,0,0,0,3,501,57,0,0,0
4,0,0,0,0,0,505,56,0,0,0
5,0,0,0,0,0,507,57,0,0,0
6,0,0,0,0,0,516,57,0,0,0
7,0,0,0,0,3,523,56,0,0,0
8,0,0,0,0,0,532,58,0,0,0
9,0,0,0,0,0,530,58,0,0,0
10,0,0,0,0,0,529,56,0,0,0
11,0,0,0,0,3,528,56,0,0,0
12,0,0,0,0,0,529,58,0,0,0
13,0,0,0,0,0,527,58,0,0,0
14,0,0,0,0,0,530,58,0,0,0
15,0,0,0,0,3,521,59,0,0,0
0,0,0,0,0,0,488,58,0,0,0
1,0,0,0,0,0,442,56,0,0,0
2,0,0,0,0,0,487,58,0,0,0
3,0,0,0,0,3,569,59,0,0,0
4,0,0,0,0,0,515,56,0,0,0
5,0,0,0,0,0,498,57,0,0,0
6,0,0,0,0,0,518,58,0,0,0
7,0,0,0,0,3,519,58,0,0,0
8,0,0,0,0,0,521,59,0,0,0
9,0,0,0,0,0,516,57,0,0,0
10,0,0,0,0,0,517,56,0,0,0
11,0,0,0,0,1,511,56,0,0,0
12,0,0,0,0,0,511,58,0,0,0
13,0,0,0,0,0,504,59,0,0,0
14,0,0,0,0,0,505,56,0,0,0
15,0,0,0,0,3,502,58,0,0,0
0,0,0,0,0,0,505,59,0,0,0
1,0,0,0,0,0,499,59,0,0,0
2,0,0,0,0,0,499,59,0,0,0
