0,1,2,3,4,5,6,7,8,9,10
7,0,0,0,0,3,514,73,0,0,0
8,0,0,0,0,0,509,71,0,0,0
9,0,0,0,0,0,505,73,0,0,0
10,0,0,0,0,0,501,71,0,0,0
11,0,0,0,0,3,503,71,0,0,0
12,0,0,0,0,0,497,73,0,0,0
13,0,0,0,0,0,500,72,0,0,0
14,0,0,0,0,0,499,73,0,0,0
15,0,0,0,0,1,496,70,0,0,0
0,0,0,0,0,0,495,72,0,0,0
1,0,0,0,0,0,496,71,0,0,0
2,0,0,0,0,0,491,73,0,0,0
3,0,0,0,0,3,493,73,0,0,0
4,0,0,0,0,0,507,71,0,0,0
5,0,0,0,0,0,518,73,0,0,0
6,0,0,0,0,1,523,71,0,0,0
7,0,0,0,0,3,526,73,0,0,0
8,0,0,0,0,0,528,71,0,0,0
9,0,0,0,0,0,528,73,0,0,0
10,0,0,0,0,0,527,72,0,0,0
11,0,0,0,0,3,525,72,0,0,0
12,0,0,0,0,0,522,72,0,0,0
13,0,0,0,0,0,517,72,0,0,0
14,0,0,0,0,0,512,72,0,0,0
15,0,0,0,0,3,510,72,0,0,0
0,0,0,0,0,0,512,70,0,0,0
1,0,0,0,0,0,515,72,0,0,0
2,0,0,0,0,1,513,73,0,0,0
3,0,0,0,0,3,515,70,0,0,0
4,0,0,0,0,0,513,73,0,0,0
5,0,0,0,0,0,514,71,0,0,0
6,0,0,0,0,0,512,73,0,0,0
7,0,0,0,0,3,518,70,0,0,0
8,0,0,0,0,1,521,72,0,0,0
9,0,0,0,0,0,519,73,0,0,0
10,0,0,0,0,0,520,72,0,0,0
11,0,0,0,0,3,520,71,0,0,0
12,0,0,0,0,0,518,72,0,0,0
13,0,0,0,0,0,515,71,0,0,0
14,0,0,0,0,0,516,73,0,0,0
15,0,0,0,0,3,517,73,0,0,0
0,0,0,0,0,0,513,70,0,0,0
1,0,0,0,0,0,516,72,0,0,0
2,0,0,0,0,0,517,70,0,0,0
3,0,0,0,0,3,518,72,0,0,0
4,0,0,0,0,1,516,72,0,0,0
5,0,0,0,0,0,509,72,0,0,0
