0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,566,83,0,0,0
1,0,0,0,0,1,562,83,0,0,0
2,0,0,0,0,0,542,82,0,0,0
3,0,0,0,0,3,507,81,0,0,0
4,0,0,0,0,0,480,81,0,0,0
5,0,0,0,0,0,448,80,0,0,0
6,0,0,0,0,0,431,81,0,0,0
7,0,0,0,0,3,421,80,0,0,0
8,0,0,0,0,0,425,80,0,0,0
9,0,0,0,0,0,424,78,0,0,0
10,0,0,0,0,0,446,77,0,0,0
11,0,0,0,0,3,469,78,0,0,0
12,0,0,0,0,0,493,78,0,0,0
13,0,0,0,0,0,505,75,0,0,0
14,0,0,0,0,0,518,78,0,0,0
15,0,0,0,0,3,530,76,0,0,0
0,0,0,0,0,0,544,77,0,0,0
1,0,0,0,0,0,565,78,0,0,0
2,0,0,0,0,0,576,77,0,0,0
3,0,0,0,0,3,587,75,0,0,0
4,0,0,0,0,0,596,78,0,0,0
5,0,0,0,0,0,593,75,0,0,0
6,0,0,0,0,0,598,77,0,0,0
7,0,0,0,0,3,570,78,0,0,0
8,0,0,0,0,0,553,76,0,0,0
9,0,0,0,0,0,542,75,0,0,0
10,0,0,0,0,0,539,75,0,0,0
11,0,0,0,0,0,536,76,0,0,0
12,0,0,0,0,0,545,75,0,0,0
13,0,0,0,0,0,552,76,0,0,0
14,0,0,0,0,0,559,75,0,0,0
15,0,0,0,0,3,554,76,0,0,0
0,0,0,0,0,0,533,76,0,0,0
1,0,0,0,0,0,534,76,0,0,0
2,0,0,0,0,0,540,78,0,0,0
3,0,0,0,0,3,540,77,0,0,0
4,0,0,0,0,0,532,78,0,0,0
5,0,0,0,0,0,519,78,0,0,0
6,0,0,0,0,0,489,78,0,0,0
7,0,0,0,0,3,479,77,0,0,0
8,0,0,0,0,0,478,77,0,0,0
9,0,0,0,0,0,483,78,0,0,0
10,0,0,0,0,0,503,78,0,0,0
11,0,0,0,0,3,506,78,0,0,0
12,0,0,0,0,0,518,76,0,0,0
13,0,0,0,0,0,518,76,0,0,0
14,0,0,0,0,0,503,77,0,0,0
15,0,0,0,0,3,484,76,0,0,0
0,0,0,0,0,0,481,78,0,0,0
1,0,0,0,0,0,476,76,0,0,0
2,0,0,0,0,0,483,78,0,0,0
3,0,0,0,0,3,483,76,0,0,0
4,0,0,0,0,0,487,77,0,0,0
5,0,0,0,0,0,491,78,0,0,0
6,0,0,0,0,0,489,78,0,0,0
7,0,0,0,0,3,501,76,0,0,0
8,0,0,0,0,0,512,78,0,0,0
9,0,0,0,0,0,516,78,0,0,0
10,0,0,0,0,0,527,78,0,0,0
11,0,0,0,0,3,526,76,0,0,0
12,0,0,0,0,0,520,76,0,0,0
13,0,0,0,0,0,519,77,0,0,0
14,0,0,0,0,0,520,78,0,0,0
15,0,0,0,0,3,510,77,0,0,0
0,0,0,0,0,0,519,76,0,0,0
1,0,0,0,0,0,522,79,0,0,0
2,0,0,0,0,0,533,78,0,0,0
3,0,0,0,0,3,541,76,0,0,0
4,0,0,0,0,0,541,78,0,0,0
5,0,0,0,0,0,533,76,0,0,0
6,0,0,0,0,0,537,78,0,0,0
7,0,0,0,0,0,536,78,0,0,0
8,0,0,0,0,0,528,79,0,0,0
9,0,0,0,0,0,526,79,0,0,0
10,0,0,0,0,0,528,78,0,0,0
11,0,0,0,0,3,476,76,0,0,0
12,0,0,0,0,0,391,77,0,0,0
13,0,0,0,0,0,411,78,0,0,0
14,0,0,0,0,0,509,78,0,0,0
15,0,0,0,0,3,465,78,0,0,0
