id,user_id,scenario_type,actor_id,actor_name,place_point_name,event_type,event_datetime
0,"TEST","S1_BasicMechanics","2","TrafficCone_5","BP_PlacePoint","place_correct","2024-10-17 12:14:36.757"
1,"TEST","S1_BasicMechanics","2","TrafficCone_8","BP_PlacePoint2","place_correct","2024-10-17 12:14:46.58"
2,"TEST","S1_BasicMechanics","2","TrafficCone_1","BP_PlacePoint3","place_correct","2024-10-17 12:14:47.9"
3,"TEST","S1_BasicMechanics","2","TrafficCone_4","BP_PlacePoint4","place_correct","2024-10-17 12:14:57.725"
4,"TEST","S1_BasicMechanics","2","TrafficCone_6","BP_PlacePoint5","place_correct","2024-10-17 12:15:5.357"
5,"TEST","S1_BasicMechanics","3","Dosimeter_SABG100_3","BP_PlacePoint6","place_correct","2024-10-17 12:15:17.93"
6,"TEST","S1_BasicMechanics","4","Dosimeter_EPD_2","BP_PlacePoint10","place_correct","2024-10-17 12:15:20.928"
7,"TEST","S1_BasicMechanics","3","Dosimeter_SABG100_1","BP_PlacePoint8","place_correct","2024-10-17 12:15:33.471"
8,"TEST","S1_BasicMechanics","4","Dosimeter_EPD_1","BP_PlacePoint9","place_correct","2024-10-17 12:15:35.365"
9,"TEST","S1_BasicMechanics","3","Dosimeter_SABG100_4","BP_PlacePoint7","place_correct","2024-10-17 12:15:46.30"
