id,user_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"ALE","T2_BasicEmergency","[0.190051;0.183439;0.18449;0.184805;0.184532;0.187408;0.188186;0.187699;0.185553;0.185439;]","[0.0;0.000026;0.000054;0.000082;0.00011;0.000137;0.000165;0.000193;0.00022;0.000248;]","[(-3040.0;12260.0);(-3110.824219;12241.043945);(-3100.384521;12223.586914);(-3097.559326;12212.079102);(-3100.447998;12212.761719);(-3070.778809;12194.125);(-3062.961426;12186.530273);(-3067.609131;12197.099609);(-3089.726318;12208.802734);(-3090.519043;12217.699219);]","[2024-10-21 16:44:48.335;2024-10-21 16:44:48.622;2024-10-21 16:44:49.159;2024-10-21 16:44:49.651;2024-10-21 16:44:50.169;2024-10-21 16:44:50.673;2024-10-21 16:44:51.187;2024-10-21 16:44:51.677;2024-10-21 16:44:52.224;2024-10-21 16:44:52.748;]"
1,"ALE","T2_BasicEmergency","[0.185863;0.186494;0.187143;0.187046;0.186805;0.187122;0.187202;0.187347;0.187362;0.187415;]","[0.000277;0.000306;0.000334;0.000362;0.00039;0.000418;0.000446;0.000474;0.000503;0.000533;]","[(-3084.554443;12246.192383);(-3078.353271;12237.191406);(-3071.563965;12236.422852);(-3071.994629;12247.348633);(-3074.812012;12242.09082);(-3071.455566;12242.55957);(-3070.588379;12242.985352);(-3069.06665;12242.942383);(-3068.938477;12242.417969);(-3068.403564;12242.045898);]","[2024-10-21 16:44:53.261;2024-10-21 16:44:53.751;2024-10-21 16:44:54.254;2024-10-21 16:44:54.764;2024-10-21 16:44:55.269;2024-10-21 16:44:55.781;2024-10-21 16:44:56.285;2024-10-21 16:44:56.802;2024-10-21 16:44:57.331;2024-10-21 16:44:57.950;]"
2,"ALE","T2_BasicEmergency","[0.187392;0.187374;0.187322;0.187338;0.187317;0.18736;0.187353;0.187355;0.187358;0.187361;]","[0.000562;0.000592;0.00062;0.000647;0.000676;0.000704;0.000731;0.00076;0.000788;0.000817;]","[(-3068.672119;12241.511719);(-3068.858154;12241.578125);(-3069.411133;12241.584961);(-3069.222168;12241.847656);(-3069.450684;12241.824219);(-3069.008301;12241.52832);(-3069.078369;12241.619141);(-3069.056396;12241.649414);(-3069.028809;12241.580078);(-3068.998535;12241.520508);]","[2024-10-21 16:44:58.395;2024-10-21 16:44:58.917;2024-10-21 16:44:59.422;2024-10-21 16:44:59.924;2024-10-21 16:45:0.450;2024-10-21 16:45:0.954;2024-10-21 16:45:1.457;2024-10-21 16:45:1.983;2024-10-21 16:45:2.484;2024-10-21 16:45:3.87;]"
3,"ALE","T2_BasicEmergency","[0.187331;0.187327;0.187292;0.889577;0.889849;0.889919;0.884804;0.869826;0.875162;0.884843;]","[0.000845;0.000874;0.000902;0.001006;0.001142;0.001275;0.001405;0.001534;0.001668;0.001797;]","[(-3069.327881;12241.37793);(-3069.359131;12241.395508);(-3069.755127;12240.904297);(-950.189331;12089.925781);(-949.878784;12090.970703);(-949.813171;12090.805664);(-954.852722;12095.404297);(-970.681274;12085.308594);(-965.245361;12080.917969);(-954.78241;12096.251953);]","[2024-10-21 16:45:3.536;2024-10-21 16:45:4.58;2024-10-21 16:45:4.564;2024-10-21 16:45:5.89;2024-10-21 16:45:5.614;2024-10-21 16:45:6.119;2024-10-21 16:45:6.620;2024-10-21 16:45:7.122;2024-10-21 16:45:7.647;2024-10-21 16:45:8.220;]"
4,"ALE","T2_BasicEmergency","[0.895617;0.893857;0.894581;0.880836;0.874979;0.887934;0.708479;0.599955;0.520404;0.52256;]","[0.001928;0.002064;0.002198;0.002333;0.002467;0.002596;0.00272;0.002819;0.002899;0.002978;]","[(-943.463806;12106.676758);(-945.712036;12094.455078);(-945.625183;12073.05957);(-959.00824;12092.891602);(-964.920227;12096.823242);(-951.729675;12093.603516);(-1154.179199;12268.383789);(-1317.658813;12364.167969);(-1469.200073;12438.744141);(-1463.386841;12443.665039);]","[2024-10-21 16:45:8.669;2024-10-21 16:45:9.214;2024-10-21 16:45:9.712;2024-10-21 16:45:10.201;2024-10-21 16:45:10.727;2024-10-21 16:45:11.228;2024-10-21 16:45:11.737;2024-10-21 16:45:12.248;2024-10-21 16:45:12.753;2024-10-21 16:45:13.338;]"
5,"ALE","T2_BasicEmergency","[0.523141;0.52292;0.522529;0.522193;0.522242;0.522176;0.521734;0.522619;0.819636;1.075774;]","[0.003057;0.003134;0.003212;0.003286;0.003368;0.003455;0.00355;0.003631;0.003739;0.003879;]","[(-1461.655884;12445.916016);(-1462.161377;12445.913086);(-1463.13269;12445.480469);(-1463.914917;12445.390625);(-1464.155151;12443.435547);(-1464.432251;12442.71875);(-1465.430176;12442.801758);(-1464.931519;12434.15332);(-1025.880127;12076.75);(-782.413818;12164.041016);]","[2024-10-21 16:45:13.789;2024-10-21 16:45:14.291;2024-10-21 16:45:14.798;2024-10-21 16:45:15.301;2024-10-21 16:45:15.823;2024-10-21 16:45:16.378;2024-10-21 16:45:16.906;2024-10-21 16:45:17.413;2024-10-21 16:45:17.991;2024-10-21 16:45:18.571;]"
6,"ALE","T2_BasicEmergency","[1.528798;2.39581;3.726494;3.698007;3.655297;3.651835;3.654669;3.656903;3.659735;4.255373;]","[0.004071;0.004367;0.004809;0.005352;0.005893;0.00643;0.006962;0.007531;0.00811;0.008742;]","[(-515.885925;12178.72168);(-233.669189;12203.929688);(-15.382041;12189.820312);(-19.905388;12183.816406);(-26.431816;12176.223633);(-27.302589;12173.536133);(-26.883549;12173.961914);(-26.561699;12174.245117);(-26.430676;12172.918945);(39.07592;12173.4375);]","[2024-10-21 16:45:19.16;2024-10-21 16:45:19.522;2024-10-21 16:45:20.21;2024-10-21 16:45:20.524;2024-10-21 16:45:21.49;2024-10-21 16:45:21.512;2024-10-21 16:45:22.34;2024-10-21 16:45:22.572;2024-10-21 16:45:23.76;2024-10-21 16:45:23.655;]"
7,"ALE","T2_BasicEmergency","[4.269326;4.271242;4.2631;4.268693;4.278065;4.236396;4.244879;4.25911;4.285191;4.260387;]","[0.009352;0.009973;0.010586;0.011198;0.011846;0.012481;0.013087;0.013695;0.014318;0.014933;]","[(38.516468;12162.098633);(36.876938;12150.347656);(36.557415;12153.507812);(37.222889;12154.295898);(38.689377;12157.867188);(35.562477;12163.797852);(36.540653;12164.658203);(37.628178;12162.775391);(39.403221;12158.006836);(37.799591;12163.058594);]","[2024-10-21 16:45:24.88;2024-10-21 16:45:24.606;2024-10-21 16:45:25.98;2024-10-21 16:45:25.602;2024-10-21 16:45:26.122;2024-10-21 16:45:26.636;2024-10-21 16:45:27.137;2024-10-21 16:45:27.638;2024-10-21 16:45:28.148;2024-10-21 16:45:28.723;]"
8,"ALE","T2_BasicEmergency","[4.225353;4.345407;4.387024;4.423066;4.378856;4.317611;4.279001;4.269355;4.270163;4.276116;]","[0.015553;0.016166;0.016805;0.017446;0.018094;0.018732;0.019361;0.019987;0.020597;0.021224;]","[(34.023525;12161.046875);(44.990223;12156.803711);(50.3419;12165.521484);(54.331467;12169.175781);(50.202477;12169.176758);(43.558903;12164.344727);(39.268291;12160.924805);(38.204575;12160.151367);(38.272774;12160.084961);(38.913292;12160.462891);]","[2024-10-21 16:45:29.164;2024-10-21 16:45:29.665;2024-10-21 16:45:30.203;2024-10-21 16:45:30.689;2024-10-21 16:45:31.201;2024-10-21 16:45:31.715;2024-10-21 16:45:32.252;2024-10-21 16:45:32.742;2024-10-21 16:45:33.229;2024-10-21 16:45:33.816;]"
9,"ALE","T2_BasicEmergency","[4.286155;4.296498;4.299249;4.296879;4.294147;4.298466;4.302829;4.306646;4.304954;4.301284;]","[0.021852;0.022483;0.02311;0.023724;0.024354;0.024967;0.025582;0.026213;0.026845;0.027491;]","[(39.934601;12160.75);(40.942726;12160.792969);(41.265743;12161.146484);(41.043297;12161.186523);(40.881054;12161.813477);(41.219494;12161.328125);(41.521389;12160.592773);(41.799442;12160.036133);(41.775272;12160.896484);(41.347519;12160.438477);]","[2024-10-21 16:45:34.257;2024-10-21 16:45:34.783;2024-10-21 16:45:35.283;2024-10-21 16:45:35.783;2024-10-21 16:45:36.298;2024-10-21 16:45:36.785;2024-10-21 16:45:37.286;2024-10-21 16:45:37.801;2024-10-21 16:45:38.313;2024-10-21 16:45:38.948;]"
