id,user_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"ALE","S2_BasicEmergency","0","[0.000073;0.004325;0.004293;0.004262;0.004292;0.005228;0.006315;0.007698;0.009618;0.009619;]","[0.0;0.000001;0.000001;0.000002;0.000003;0.000003;0.000004;0.000005;0.000006;0.000008;]","[(0.0;0.0);(11719.352539;-17728.019531);(11703.685547;-17730.269531);(11683.244141;-17748.625);(11691.874023;-17763.359375);(11949.400391;-17899.896484);(12142.584961;-18081.292969);(12312.051758;-18292.732422);(12501.226562;-18473.804688);(12501.902344;-18469.701172);]","[2024-10-21 16:48:4.723;2024-10-21 16:48:5.249;2024-10-21 16:48:5.785;2024-10-21 16:48:6.294;2024-10-21 16:48:6.841;2024-10-21 16:48:7.378;2024-10-21 16:48:7.906;2024-10-21 16:48:8.429;2024-10-21 16:48:8.953;2024-10-21 16:48:9.457;]"
1,"ALE","S2_BasicEmergency","0","[0.009569;0.009132;0.008878;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;]","[0.000009;0.000011;0.000012;0.000013;0.000014;0.000016;0.000017;0.000018;0.000019;0.000021;]","[(12496.572266;-18459.414062);(12465.577148;-18409.220703);(12448.610352;-18376.802734);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:9.952;2024-10-21 16:48:10.479;2024-10-21 16:48:10.999;2024-10-21 16:48:11.523;2024-10-21 16:48:12.29;2024-10-21 16:48:12.551;2024-10-21 16:48:13.49;2024-10-21 16:48:13.547;2024-10-21 16:48:14.59;2024-10-21 16:48:14.566;]"
2,"ALE","S2_BasicEmergency","0","[0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;]","[0.000022;0.000023;0.000025;0.000026;0.000027;0.000028;0.00003;0.000031;0.000032;0.000033;]","[(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:15.94;2024-10-21 16:48:15.648;2024-10-21 16:48:16.170;2024-10-21 16:48:16.682;2024-10-21 16:48:17.203;2024-10-21 16:48:17.705;2024-10-21 16:48:18.278;2024-10-21 16:48:18.785;2024-10-21 16:48:19.305;2024-10-21 16:48:19.831;]"
3,"ALE","S2_BasicEmergency","0","[0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.00884;0.008841;]","[0.000035;0.000036;0.000037;0.000039;0.00004;0.000041;0.000042;0.000044;0.000045;0.000046;]","[(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:20.329;2024-10-21 16:48:20.895;2024-10-21 16:48:21.407;2024-10-21 16:48:21.910;2024-10-21 16:48:22.403;2024-10-21 16:48:22.935;2024-10-21 16:48:23.443;2024-10-21 16:48:23.962;2024-10-21 16:48:24.500;2024-10-21 16:48:25.1;]"
4,"ALE","S2_BasicEmergency","0","[0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;]","[0.000048;0.000049;0.00005;0.000051;0.000053;0.000054;0.000055;0.000056;0.000058;0.000059;]","[(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:25.524;2024-10-21 16:48:26.73;2024-10-21 16:48:26.585;2024-10-21 16:48:27.100;2024-10-21 16:48:27.612;2024-10-21 16:48:28.117;2024-10-21 16:48:28.638;2024-10-21 16:48:29.170;2024-10-21 16:48:29.671;2024-10-21 16:48:30.171;]"
5,"ALE","S2_BasicEmergency","0","[0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;]","[0.00006;0.000061;0.000063;0.000064;0.000065;0.000067;0.000068;0.000069;0.00007;0.000072;]","[(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:30.695;2024-10-21 16:48:31.220;2024-10-21 16:48:31.750;2024-10-21 16:48:32.271;2024-10-21 16:48:32.793;2024-10-21 16:48:33.287;2024-10-21 16:48:33.798;2024-10-21 16:48:34.317;2024-10-21 16:48:34.852;2024-10-21 16:48:35.375;]"
6,"ALE","S2_BasicEmergency","0","[0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;]","[0.000073;0.000074;0.000075;0.000077;0.000078;0.000079;0.000081;0.000082;0.000083;0.000084;]","[(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:35.884;2024-10-21 16:48:36.404;2024-10-21 16:48:36.904;2024-10-21 16:48:37.408;2024-10-21 16:48:37.933;2024-10-21 16:48:38.463;2024-10-21 16:48:38.964;2024-10-21 16:48:39.480;2024-10-21 16:48:39.987;2024-10-21 16:48:40.497;]"
7,"ALE","S2_BasicEmergency","0","[0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;]","[0.000086;0.000087;0.000088;0.000089;0.000091;0.000092;0.000093;0.000094;0.000096;0.000097;]","[(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:41.21;2024-10-21 16:48:41.532;2024-10-21 16:48:42.39;2024-10-21 16:48:42.543;2024-10-21 16:48:43.44;2024-10-21 16:48:43.563;2024-10-21 16:48:44.97;2024-10-21 16:48:44.645;2024-10-21 16:48:45.225;2024-10-21 16:48:45.753;]"
8,"ALE","S2_BasicEmergency","0","[0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;]","[0.000098;0.0001;0.000101;0.000102;0.000104;0.000105;0.000106;0.000107;0.000109;0.00011;]","[(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:46.293;2024-10-21 16:48:46.823;2024-10-21 16:48:47.380;2024-10-21 16:48:47.895;2024-10-21 16:48:48.399;2024-10-21 16:48:48.908;2024-10-21 16:48:49.427;2024-10-21 16:48:49.942;2024-10-21 16:48:50.431;2024-10-21 16:48:50.931;]"
9,"ALE","S2_BasicEmergency","0","[0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;0.008841;]","[0.000111;0.000113;0.000114;0.000115;0.000116;0.000118;0.000119;0.00012;0.000122;0.000123;]","[(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);(12445.978516;-18372.851562);]","[2024-10-21 16:48:51.506;2024-10-21 16:48:52.59;2024-10-21 16:48:52.588;2024-10-21 16:48:53.76;2024-10-21 16:48:53.596;2024-10-21 16:48:54.143;2024-10-21 16:48:54.671;2024-10-21 16:48:55.159;2024-10-21 16:48:55.675;2024-10-21 16:48:56.192;]"
