id,user_id,scenario_type,actor_id,actor_name
0,"AA","T1_BasicMechanics","2","TrafficCone_1"
1,"AA","T1_BasicMechanics","2","TrafficCone_2"
2,"AA","T1_BasicMechanics","2","TrafficCone_3"
3,"AA","T1_BasicMechanics","2","TrafficCone_4"
4,"AA","T1_BasicMechanics","2","TrafficCone_5"
5,"AA","T1_BasicMechanics","3","Dosimeter_SABG100_1"
6,"AA","T1_BasicMechanics","3","Dosimeter_SABG100_2"
7,"AA","T1_BasicMechanics","3","Dosimeter_SABG100_3"
8,"AA","T1_BasicMechanics","4","Dosimeter_EPD_1"
9,"AA","T1_BasicMechanics","4","Dosimeter_EPD_2"
10,"AA","T1_BasicMechanics","7","PoliceTape_1"
11,"AA","T1_BasicMechanics","7","PoliceTape_2"
12,"AA","T1_BasicMechanics","9","Clamps_1"
13,"AA","T1_BasicMechanics","9","Clamps_2"
