id,user_id,experiment_id,scenario_type,input_type,input_state,event_datetime
0.0,0,0,0,0,0,0
1.0,1,1,1,1,1,1
2.0,2,2,2,2,2,2
3.0,3,3,3,3,3,3
4.0,4,4,4,4,4,4
5.0,5,5,5,5,5,5
6.0,6,6,6,6,6,6
7.0,7,7,7,7,7,7
8.0,8,8,8,8,8,8
9.0,9,9,9,9,9,9
10.0,10,10,10,10,10,10
11.0,11,11,11,11,11,11
12.0,12,12,12,12,12,12
13.0,13,13,13,13,13,13
14.0,14,14,14,14,14,14
15.0,15,15,15,15,15,15
16.0,16,16,16,16,16,16
17.0,17,17,17,17,17,17
18.0,18,18,18,18,18,18
19.0,19,19,19,19,19,19
20.0,20,20,20,20,20,20
21.0,21,21,21,21,21,21
22.0,22,22,22,22,22,22
23.0,23,23,23,23,23,23
24.0,24,24,24,24,24,24
25.0,25,25,25,25,25,25
26.0,26,26,26,26,26,26
27.0,27,27,27,27,27,27
28.0,28,28,28,28,28,28
29.0,29,29,29,29,29,29
30.0,30,30,30,30,30,30
31.0,31,31,31,31,31,31
32.0,32,32,32,32,32,32
33.0,33,33,33,33,33,33
34.0,34,34,34,34,34,34
35.0,35,35,35,35,35,35
36.0,36,36,36,36,36,36
37.0,37,37,37,37,37,37
38.0,38,38,38,38,38,38
39.0,39,39,39,39,39,39
40.0,40,40,40,40,40,40
41.0,41,41,41,41,41,41
42.0,42,42,42,42,42,42
43.0,43,43,43,43,43,43
44.0,44,44,44,44,44,44
45.0,45,45,45,45,45,45
46.0,46,46,46,46,46,46
47.0,47,47,47,47,47,47
48.0,48,48,48,48,48,48
49.0,49,49,49,49,49,49
50.0,50,50,50,50,50,50
51.0,51,51,51,51,51,51
52.0,52,52,52,52,52,52
53.0,53,53,53,53,53,53
54.0,54,54,54,54,54,54
55.0,55,55,55,55,55,55
56.0,56,56,56,56,56,56
57.0,57,57,57,57,57,57
58.0,58,58,58,58,58,58
59.0,59,59,59,59,59,59
60.0,60,60,60,60,60,60
61.0,61,61,61,61,61,61
62.0,62,62,62,62,62,62
63.0,63,63,63,63,63,63
64.0,64,64,64,64,64,64
65.0,65,65,65,65,65,65
66.0,66,66,66,66,66,66
67.0,67,67,67,67,67,67
68.0,68,68,68,68,68,68
69.0,69,69,69,69,69,69
70.0,70,70,70,70,70,70
71.0,71,71,71,71,71,71
72.0,72,72,72,72,72,72
73.0,73,73,73,73,73,73
74.0,74,74,74,74,74,74
75.0,75,75,75,75,75,75
76.0,76,76,76,76,76,76
77.0,77,77,77,77,77,77
78.0,78,78,78,78,78,78
79.0,79,79,79,79,79,79
80.0,80,80,80,80,80,80
81.0,81,81,81,81,81,81
82.0,82,82,82,82,82,82
83.0,83,83,83,83,83,83
84.0,84,84,84,84,84,84
85.0,85,85,85,85,85,85
86.0,86,86,86,86,86,86
87.0,87,87,87,87,87,87
88.0,88,88,88,88,88,88
89.0,89,89,89,89,89,89
90.0,90,90,90,90,90,90
91.0,91,91,91,91,91,91
92.0,92,92,92,92,92,92
93.0,93,93,93,93,93,93
94.0,94,94,94,94,94,94
95.0,95,95,95,95,95,95
96.0,96,96,96,96,96,96
97.0,97,97,97,97,97,97
98.0,98,98,98,98,98,98
99.0,99,99,99,99,99,99
100.0,100,100,100,100,100,100
101.0,101,101,101,101,101,101
102.0,102,102,102,102,102,102
103.0,103,103,103,103,103,103
104.0,104,104,104,104,104,104
105.0,105,105,105,105,105,105
106.0,106,106,106,106,106,106
107.0,107,107,107,107,107,107
108.0,108,108,108,108,108,108
109.0,109,109,109,109,109,109
110.0,110,110,110,110,110,110
111.0,111,111,111,111,111,111
112.0,112,112,112,112,112,112
113.0,113,113,113,113,113,113
114.0,114,114,114,114,114,114
115.0,115,115,115,115,115,115
116.0,116,116,116,116,116,116
117.0,117,117,117,117,117,117
118.0,118,118,118,118,118,118
119.0,119,119,119,119,119,119
120.0,120,120,120,120,120,120
121.0,121,121,121,121,121,121
122.0,122,122,122,122,122,122
123.0,123,123,123,123,123,123
124.0,124,124,124,124,124,124
125.0,125,125,125,125,125,125
126.0,126,126,126,126,126,126
127.0,127,127,127,127,127,127
128.0,128,128,128,128,128,128
129.0,129,129,129,129,129,129
130.0,130,130,130,130,130,130
131.0,131,131,131,131,131,131
132.0,132,132,132,132,132,132
133.0,133,133,133,133,133,133
134.0,134,134,134,134,134,134
135.0,135,135,135,135,135,135
136.0,136,136,136,136,136,136
137.0,137,137,137,137,137,137
138.0,138,138,138,138,138,138
139.0,139,139,139,139,139,139
140.0,140,140,140,140,140,140
141.0,141,141,141,141,141,141
142.0,142,142,142,142,142,142
143.0,143,143,143,143,143,143
144.0,144,144,144,144,144,144
145.0,145,145,145,145,145,145
146.0,146,146,146,146,146,146
147.0,147,147,147,147,147,147
148.0,148,148,148,148,148,148
149.0,149,149,149,149,149,149
150.0,150,150,150,150,150,150
151.0,151,151,151,151,151,151
152.0,152,152,152,152,152,152
153.0,153,153,153,153,153,153
154.0,154,154,154,154,154,154
155.0,155,155,155,155,155,155
156.0,156,156,156,156,156,156
157.0,157,157,157,157,157,157
158.0,158,158,158,158,158,158
159.0,159,159,159,159,159,159
160.0,160,160,160,160,160,160
161.0,161,161,161,161,161,161
162.0,162,162,162,162,162,162
163.0,163,163,163,163,163,163
164.0,164,164,164,164,164,164
165.0,165,165,165,165,165,165
166.0,166,166,166,166,166,166
167.0,167,167,167,167,167,167
168.0,168,168,168,168,168,168
169.0,169,169,169,169,169,169
170.0,170,170,170,170,170,170
171.0,171,171,171,171,171,171
172.0,172,172,172,172,172,172
173.0,173,173,173,173,173,173
