id,user_id,experiment_id,scenario_type,input_type,input_state,hand,hand_location,hand_rotation,event_datetime
0,AB,1,T1_BasicMechanics,IA_Move_Left,started,Left,(12.439699;21.167877;3.687447),(7.688679;37.075134;-2.323014),2024-10-25 13:42:44.231
1,AB,1,T1_BasicMechanics,IA_Move_Left,completed,Left,(8.910682;25.194294;2.66423),(16.434425;24.027987;-3.911073),2024-10-25 13:42:44.410
2,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(2.9002;18.054125;12.632156),(-52.866524;8.196787;-59.73838),2024-10-25 13:42:52.194
3,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(2.37906;18.506182;12.916664),(-52.332615;6.168779;-53.252922),2024-10-25 13:42:52.306
4,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(0.567786;19.819101;14.299545),(-48.81218;-5.926641;-57.360939),2024-10-25 13:42:58.155
5,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(0.306428;19.79472;14.688103),(-52.394062;-5.66761;-55.418537),2024-10-25 13:42:58.266
6,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(14.988316;10.852392;27.488365),(20.427162;80.260933;21.056816),2024-10-25 13:43:4.542
7,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(14.892277;11.244697;27.510101),(22.542416;79.28331;22.777811),2024-10-25 13:43:4.654
8,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(14.725;11.264053;28.055016),(24.424051;79.50956;22.148808),2024-10-25 13:43:4.986
9,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(14.731009;11.189819;28.25209),(22.041658;79.896027;18.009817),2024-10-25 13:43:5.71
10,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(14.949606;10.882723;28.288879),(18.77384;80.534195;11.822999),2024-10-25 13:43:5.332
11,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(14.895694;10.500238;28.325134),(10.204173;80.56356;1.341583),2024-10-25 13:43:5.429
12,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(18.453505;14.064544;11.393097),(-32.240353;61.859661;-27.742071),2024-10-25 13:43:5.845
13,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(17.569201;17.276962;2.467598),(6.024923;31.718098;4.251594),2024-10-25 13:43:5.930
14,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(8.700905;15.524632;7.624985),(-0.342098;39.321011;-86.831009),2024-10-25 13:43:30.891
15,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(8.045517;16.433729;8.894485),(1.133239;31.408905;-83.423599),2024-10-25 13:43:31.375
16,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(24.669182;30.403452;12.398163),(-51.016979;-29.585033;-10.744842),2024-10-25 13:43:32.304
17,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(23.844145;29.688267;12.061424),(-43.000023;-22.428768;-3.824887),2024-10-25 13:43:32.429
18,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(10.114518;6.682041;6.88974),(-0.945162;7.8798;-160.455643),2024-10-25 13:43:33.332
19,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(10.809385;6.495566;7.855057),(-4.535438;2.907046;-163.470001),2024-10-25 13:43:33.444
20,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(32.460995;21.758139;14.276497),(-51.796356;-20.218679;15.477557),2024-10-25 13:43:34.317
21,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(10.969704;34.667709;8.707222),(79.337898;-66.373817;-149.629822),2024-10-25 13:43:34.928
22,AB,1,T1_BasicMechanics,IA_Move_Left,started,Left,(16.725811;17.802927;1.293182),(-10.719077;27.210171;-112.026711),2024-10-25 13:43:39.391
23,AB,1,T1_BasicMechanics,IA_Move_Left,completed,Left,(12.434517;3.945373;6.072067),(9.616457;-11.876904;-90.805389),2024-10-25 13:43:40.584
24,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(27.809908;12.316101;33.572418),(20.693409;77.164574;5.838221),2024-10-25 13:43:45.92
25,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(27.936846;12.479093;33.734985),(26.443869;76.857437;11.451868),2024-10-25 13:43:45.189
26,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(20.076937;7.597778;10.907188),(-12.814496;45.239124;-58.13361),2024-10-25 13:43:48.103
27,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(19.964012;9.543167;14.659836),(-17.406912;47.35273;-67.050957),2024-10-25 13:43:48.312
28,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(6.814969;42.778503;9.196304),(-31.764149;-3.753064;79.91288),2024-10-25 13:43:48.798
29,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(11.353657;40.474331;5.787781),(-26.653908;-8.115604;61.584324),2024-10-25 13:43:48.948
30,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(4.908194;2.633081;4.321213),(10.450323;0.798751;-84.220726),2024-10-25 13:43:49.310
31,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(4.309534;0.644287;3.125076),(5.757056;-6.024312;-93.424286),2024-10-25 13:43:49.463
32,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(24.940464;43.624088;11.037117),(-98.995651;-70.256073;52.029964),2024-10-25 13:43:49.824
33,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(33.823334;42.661591;4.968605),(-79.568314;-72.622345;49.828609),2024-10-25 13:43:49.964
34,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(8.848171;7.791793;8.285576),(-6.590637;0.846597;-53.069946),2024-10-25 13:43:50.338
35,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(9.267677;0.60284;0.576073),(-3.918988;6.269998;-75.764542),2024-10-25 13:43:50.449
36,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(2.031644;21.263493;13.140282),(-15.798762;-31.286549;-32.932404),2024-10-25 13:43:50.754
37,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(9.793486;39.226757;10.844055),(-46.216793;-47.633045;24.446339),2024-10-25 13:43:50.906
38,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(10.950483;16.258711;11.866287),(-28.540977;1.801122;-69.087349),2024-10-25 13:43:51.879
39,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(11.533426;17.086277;11.1819),(-23.27677;4.998371;-55.415794),2024-10-25 13:43:51.949
40,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(18.001236;24.744738;11.713043),(16.857563;56.361511;52.734932),2024-10-25 13:43:53.62
41,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(18.737062;25.047243;13.397087),(15.260377;60.612423;54.072632),2024-10-25 13:43:53.144
42,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(24.004797;13.444907;8.336166),(-7.064865;52.849342;-0.280841),2024-10-25 13:43:54.212
43,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(54.799995;8.601139;46.174927),(-139.736618;83.492645;-139.986908),2024-10-25 13:43:56.200
44,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(0.448851;18.965256;16.110687),(-24.143347;-17.665695;18.464329),2024-10-25 13:43:57.89
45,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(0.241557;19.218719;14.082985),(-11.603913;-12.542871;15.145664),2024-10-25 13:43:57.187
46,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(14.769369;4.806309;2.080505),(-20.337914;21.149929;-100.179039),2024-10-25 13:43:59.4
47,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(14.944677;2.530407;4.499985),(-10.123457;21.534336;-95.554367),2024-10-25 13:43:59.212
48,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(12.822178;15.366859;9.324593),(-33.795502;-2.859029;-132.982925),2024-10-25 13:44:8.483
49,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(5.91648;18.881723;3.454971),(-23.097076;16.617262;-132.158157),2024-10-25 13:44:8.940
50,AB,1,T1_BasicMechanics,IA_Grab_Left,started,Left,(4.8231;27.591356;0.137924),(61.603931;17.107431;-24.471663),2024-10-25 13:44:10.688
51,AB,1,T1_BasicMechanics,IA_Grab_Left,completed,Left,(2.914759;32.842148;5.377655),(18.763489;17.756212;-73.542953),2024-10-25 13:44:11.880
52,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(21.864862;5.794298;11.115517),(-15.896443;-7.974377;-50.670288),2024-10-25 13:44:12.379
53,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(21.936199;5.083166;10.546898),(-16.652723;-8.141799;-48.370506),2024-10-25 13:44:12.462
54,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(35.160053;23.943398;6.504898),(-90.213196;-3.102349;-127.498032),2024-10-25 13:44:14.519
55,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(22.423248;21.636206;9.265503),(-69.775238;49.566845;-143.369217),2024-10-25 13:44:16.32
56,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(29.976269;10.295012;32.076866),(38.757397;72.954536;26.026667),2024-10-25 13:44:18.115
57,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(30.510542;10.685491;32.088593),(34.985023;75.59491;24.399105),2024-10-25 13:44:18.213
58,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(27.270676;20.347006;5.55838),(-40.491638;52.725731;-85.360916),2024-10-25 13:44:19.737
59,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(33.681713;11.286873;8.73571),(-52.313267;50.350159;-93.170815),2024-10-25 13:44:20.170
60,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(33.685783;31.43568;13.900085),(-74.075066;42.470955;-96.120354),2024-10-25 13:44:20.822
61,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(22.070694;21.027805;2.549744),(-80.288506;20.078775;-153.132156),2024-10-25 13:44:21.670
62,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(18.64138;38.65416;2.874001),(-83.394211;24.287573;-132.403885),2024-10-25 13:44:24.113
63,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(2.735003;22.624329;9.696228),(-57.443867;43.426197;-156.37381),2024-10-25 13:44:26.186
64,AB,1,T1_BasicMechanics,IA_Grab_Left,started,Left,(33.456474;14.759415;1.50882),(93.391205;4.114114;-76.205978),2024-10-25 13:44:26.517
65,AB,1,T1_BasicMechanics,IA_Grab_Left,completed,Left,(39.043404;25.235712;7.802444),(51.462444;22.869858;-110.923264),2024-10-25 13:44:27.416
66,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(17.362175;27.220245;4.13044),(-5.194084;25.501976;58.184494),2024-10-25 13:44:29.419
67,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(27.384518;27.624357;18.137672),(-4.809641;65.23452;7.36936),2024-10-25 13:44:29.890
68,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(33.408699;18.538822;11.476334),(-12.448407;53.511616;-8.384873),2024-10-25 13:44:30.289
69,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(41.525364;17.70245;25.008316),(19.959377;75.0112;30.067898),2024-10-25 13:44:30.512
70,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(13.502907;0.365667;8.51844),(-16.056274;14.2837;-95.639549),2024-10-25 13:44:31.209
71,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(13.60032;4.217762;4.761467),(1.137948;31.224642;-83.195137),2024-10-25 13:44:31.333
72,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(28.722544;0.208892;32.76767),(44.524933;74.083527;20.63728),2024-10-25 13:44:42.253
73,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(28.533506;0.113328;32.865005),(47.152878;75.750717;20.498047),2024-10-25 13:44:42.378
74,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(18.872272;10.277563;0.445732),(-2.002344;20.09137;-77.782578),2024-10-25 13:44:43.15
75,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(15.285873;11.772715;1.635529),(-6.038291;13.137996;-86.455093),2024-10-25 13:44:43.279
76,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(0.732558;40.51099;3.566696),(-4.00386;27.040552;-81.240753),2024-10-25 13:44:44.211
77,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(0.399177;38.237019;3.196075),(-9.933262;27.914867;-91.794113),2024-10-25 13:44:44.571
78,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(29.229843;13.740797;4.775803),(-2.673283;15.722301;-39.214798),2024-10-25 13:44:45.74
79,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(35.247181;2.871489;4.523811),(-15.373922;3.487854;-40.88665),2024-10-25 13:44:45.375
80,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(18.95471;34.767365;2.981873),(-36.023037;41.031364;-90.515686),2024-10-25 13:44:46.14
81,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(11.832795;33.747082;6.99337),(-16.72271;42.493031;-102.235748),2024-10-25 13:44:46.388
82,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(29.460644;28.86162;13.569572),(-14.181263;26.584318;-94.126602),2024-10-25 13:44:46.902
83,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(31.342094;29.603191;15.325661),(-16.434269;23.796467;-90.389923),2024-10-25 13:44:47.180
84,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(16.19902;2.789355;3.18351),(-20.646769;17.891478;155.154282),2024-10-25 13:44:48.487
85,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(26.923571;0.236898;13.357094),(-25.083599;45.060505;151.070343),2024-10-25 13:44:49.14
86,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(6.855881;1.555552;6.959106),(-23.19825;12.372502;59.749367),2024-10-25 13:44:50.349
87,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(4.021406;4.337495;7.758873),(-21.009558;21.285877;61.412827),2024-10-25 13:44:50.530
88,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(29.237677;11.257198;3.853111),(-61.447742;20.874454;159.541214),2024-10-25 13:44:51.587
89,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(24.141022;29.168211;5.063255),(-87.206505;9.4095;144.879105),2024-10-25 13:44:52.696
90,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(9.785656;30.610376;1.938942),(13.039207;41.674156;90.502625),2024-10-25 13:44:54.264
91,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(9.660843;32.654739;11.263947),(22.211704;55.854813;64.527252),2024-10-25 13:44:54.558
92,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(25.372232;11.204288;0.909729),(-2.857177;40.50708;-2.966515),2024-10-25 13:44:55.81
93,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(38.282814;7.386907;23.832191),(38.258671;76.617767;28.953135),2024-10-25 13:44:55.427
94,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(16.463728;0.512552;6.383904),(-23.218565;26.903765;-85.024773),2024-10-25 13:44:56.206
95,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(17.560364;6.566299;1.262375),(-10.550599;36.529831;-77.188194),2024-10-25 13:44:56.373
96,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(34.917282;4.714361;30.848099),(32.914612;78.385201;14.366742),2024-10-25 13:45:16.431
97,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(34.67757;4.320158;30.954079),(43.218216;76.308281;20.749189),2024-10-25 13:45:16.515
98,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(8.379964;12.837793;7.525269),(-1.953739;-1.12074;-151.501617),2024-10-25 13:45:19.96
99,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(6.435989;10.947235;7.675285),(-2.564293;-1.637644;-160.01738),2024-10-25 13:45:19.235
100,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(20.920223;35.045242;8.447556),(-51.015896;30.235035;-165.007812),2024-10-25 13:45:21.417
101,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(26.272808;10.387697;1.208794),(-19.590916;18.848579;-63.331375),2024-10-25 13:45:22.720
102,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(32.762856;17.930424;4.020973),(-0.246737;42.04644;-43.141113),2024-10-25 13:45:23.442
103,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(32.176735;22.810444;2.035133),(-18.276745;19.641283;-43.557377),2024-10-25 13:45:25.12
104,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(23.509798;6.588695;7.601395),(-12.144239;40.219738;128.803055),2024-10-25 13:45:26.387
105,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(24.093531;7.334669;9.46093),(-7.966512;41.079514;133.943619),2024-10-25 13:45:26.845
106,AB,1,T1_BasicMechanics,IA_Grab_Right,started,Right,(27.926296;6.873873;17.843666),(-62.113083;11.467716;102.668793),2024-10-25 13:45:28.373
107,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(31.133242;2.151159;2.757538),(-7.094115;22.283949;-31.494749),2024-10-25 13:45:31.260
108,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(41.490021;7.313246;8.760101),(-14.680579;47.184696;-34.601109),2024-10-25 13:45:31.802
109,AB,1,T1_BasicMechanics,IA_Grab_Right,completed,Right,(23.504997;4.754593;7.592766),(-38.407749;37.234058;-78.029762),2024-10-25 13:45:32.703
110,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(18.606174;31.540047;12.08448),(21.098953;57.259609;64.413101),2024-10-25 13:45:34.165
111,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(21.153141;36.738358;20.505028),(0.352311;59.848129;42.005814),2024-10-25 13:45:34.442
112,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(30.383488;9.739809;5.416351),(-1.633675;55.05386;8.050663),2024-10-25 13:45:35.952
113,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(33.023529;10.837062;13.971695),(3.250654;70.661179;9.715075),2024-10-25 13:45:36.369
114,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(17.089342;3.369392;3.932327),(-8.416527;37.058498;-69.620621),2024-10-25 13:45:37.173
115,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(15.162002;6.166763;3.022186),(-8.006818;36.690121;-78.652779),2024-10-25 13:45:37.410
116,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(15.797319;3.519264;4.450249),(-34.62384;24.879503;-136.662888),2024-10-25 13:45:43.902
117,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(13.947224;3.33799;3.678162),(-33.351509;19.504923;-144.627151),2024-10-25 13:45:44.25
118,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(19.751314;27.427649;10.019547),(-33.341866;-6.113307;3.668447),2024-10-25 13:45:46.636
119,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(19.715046;26.640936;10.170624),(-31.560781;-4.549607;6.167931),2024-10-25 13:45:46.775
120,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(38.195576;2.134045;32.919136),(-14.656609;80.662262;-23.419422),2024-10-25 13:45:47.550
121,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(37.921371;1.911385;32.995804),(-6.772449;77.413422;-18.374704),2024-10-25 13:45:47.647
122,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(36.598282;0.488152;31.347641),(9.21585;80.394539;-5.209996),2024-10-25 13:45:48.272
123,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(36.230026;0.662254;31.478958),(0.127198;79.879295;-13.498165),2024-10-25 13:45:48.396
124,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(20.362167;11.756424;21.560814),(-3.361758;54.769028;-58.131504),2024-10-25 13:45:49.451
125,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(20.809628;11.776058;21.794159),(-8.766921;54.175671;-61.224415),2024-10-25 13:45:49.534
126,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(18.289103;2.503075;14.082886),(-12.458453;71.039291;-57.435219),2024-10-25 13:46:1.189
127,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(18.341558;2.223507;13.500099),(-16.966841;69.3769;-60.771679),2024-10-25 13:46:1.287
128,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,started,Right,(17.833048;1.426594;11.903801),(-10.996453;64.56459;-57.124226),2024-10-25 13:46:2.145
129,AB,1,T1_BasicMechanics,IA_Menu_Interact_Right,completed,Right,(17.52095;1.614594;12.020233),(-9.603341;64.778793;-56.356754),2024-10-25 13:46:2.214
130,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(9.937769;35.688618;4.141693),(-22.54734;33.488277;42.552719),2024-10-25 13:46:14.8
131,AB,1,T1_BasicMechanics,IA_Move_Right,completed,Right,(12.982737;34.036411;1.432961),(-9.942405;37.060791;49.839779),2024-10-25 13:46:14.229
132,AB,1,T1_BasicMechanics,IA_Move_Right,started,Right,(48.309643;10.988806;26.769951),(-21.805265;75.46965;-18.044935),2024-10-25 13:46:15.198
