id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,"AB","S1_BasicMechanics","real_life","1-1-1 0:0:0.0","2024-10-25 13:46:34.837","(0.0;0.0)","(13.133881;26.858484)","0.298978"
1,"AB","S1_BasicMechanics","real_life","2024-10-25 13:46:34.846","2024-10-25 13:46:36.210","(13.133881;26.858484)","(19.039129;37.61998)","0.122752"
2,"AB","S1_BasicMechanics","real_life","2024-10-25 13:46:36.219","2024-10-25 13:46:37.227","(19.039129;37.61998)","(14.600727;23.009577)","0.152697"
3,"AB","S1_BasicMechanics","real_life","2024-10-25 13:46:37.235","2024-10-25 13:46:51.97","(14.600727;23.009577)","(24.323067;15.928287)","0.120278"
4,"AB","S1_BasicMechanics","real_life","2024-10-25 13:46:51.107","2024-10-25 13:46:52.149","(24.323067;15.928287)","(14.453588;25.17893)","0.13527"
5,"AB","S1_BasicMechanics","real_life","2024-10-25 13:46:52.157","2024-10-25 13:46:54.174","(14.453588;25.17893)","(11.539676;14.6577)","0.109173"
6,"AB","S1_BasicMechanics","real_life","2024-10-25 13:46:54.184","2024-10-25 13:46:55.703","(11.539676;14.6577)","(13.976674;27.478165)","0.1305"
7,"AB","S1_BasicMechanics","real_life","2024-10-25 13:46:55.712","2024-10-25 13:46:59.319","(13.976674;27.478165)","(25.008137;20.585201)","0.130079"
8,"AB","S1_BasicMechanics","real_life","2024-10-25 13:46:59.327","2024-10-25 13:47:5.983","(25.008137;20.585201)","(13.582286;27.979883)","0.1361"
9,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:47:6.100","2024-10-25 13:47:6.482","(12384.360352;-3066.734863)","(12766.982422;-3371.147461)","4.889445"
10,"AB","S1_BasicMechanics","real_life","2024-10-25 13:47:5.992","2024-10-25 13:47:7.542","(0.0;0.0)","(9.102377;4.849373)","0.103136"
11,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:47:8.230","2024-10-25 13:47:8.362","(12756.704102;-3373.830566)","(12695.392578;-3724.96582)","3.56448"
12,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:47:8.691","2024-10-25 13:47:8.824","(12695.81543;-3724.266113)","(12648.954102;-3971.229004)","2.513694"
13,"AB","S1_BasicMechanics","real_life","2024-10-25 13:47:7.553","2024-10-25 13:47:10.139","(0.0;0.0)","(14.70104;2.307501)","0.14881"
14,"AB","S1_BasicMechanics","real_life","2024-10-25 13:47:10.150","2024-10-25 13:47:11.162","(14.70104;2.307501)","(2.690643;3.111124)","0.120373"
15,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:47:11.247","2024-10-25 13:47:11.495","(12646.373047;-3974.378906)","(12528.712891;-3565.879395)","4.251068"
16,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:47:12.574","2024-10-25 13:47:12.673","(12530.762695;-3588.938965)","(12570.657227;-3636.633789)","0.6218"
17,"AB","S1_BasicMechanics","real_life","2024-10-25 13:47:11.173","2024-10-25 13:47:13.224","(0.0;0.0)","(-0.257669;-16.582279)","0.165843"
18,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:47:41.770","2024-10-25 13:47:42.468","(12568.169922;-3622.001465)","(12400.0;-3515.784668)","1.989046"
19,"AB","S1_BasicMechanics","real_life","2024-10-25 13:47:13.234","2024-10-25 13:47:43.248","(0.0;0.0)","(4.324959;10.054604)","0.109453"
20,"AB","S1_BasicMechanics","real_life","2024-10-25 13:47:43.257","2024-10-25 13:47:43.784","(4.324959;10.054604)","(-9.450183;21.392834)","0.178412"
21,"AB","S1_BasicMechanics","virtual_reality","2024-10-25 13:47:43.952","2024-10-25 13:47:44.73","(12412.333984;-3535.845947)","(12523.040039;-3604.791504)","1.304196"
22,"AB","S1_BasicMechanics","real_life","2024-10-25 13:47:43.794","2024-10-25 13:47:44.817","(0.0;0.0)","(10.089195;1.98288)","0.102822"
23,"AB","S1_BasicMechanics","real_life","2024-10-25 13:47:44.828","2024-10-25 13:47:45.865","(10.089195;1.98288)","(18.644941;-10.110191)","0.148136"
