id,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,AB,1,T2_BasicEmergency,RBQ_Functionality,started,2024-10-25 13:50:55.257
1,AB,1,T2_BasicEmergency,RBQ_Functionality,completed,2024-10-25 13:51:5.521
2,AB,1,T2_BasicEmergency,OI_WalkieTalkie,started,2024-10-25 13:51:32.973
3,AB,1,T2_BasicEmergency,OI_WalkieTalkie,completed,2024-10-25 13:52:12.100
4,AB,1,T2_BasicEmergency,OI_SABG100,started,2024-10-25 13:52:35.705
5,AB,1,T2_BasicEmergency,OI_SABG100,completed,2024-10-25 13:53:3.584
6,AB,1,T2_BasicEmergency,OI_EPD,started,2024-10-25 13:53:39.708
7,AB,1,T2_BasicEmergency,OI_EPD,completed,2024-10-25 13:53:46.950
8,AB,1,T2_BasicEmergency,HP_Functionality,started,2024-10-25 13:54:19.947
9,AB,1,T2_BasicEmergency,HP_Functionality,completed,2024-10-25 13:54:37.705
