id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,AB,1,S2_BasicEmergency,00001,Completed,2024-10-25 13:55:14.144
1,AB,1,S2_BasicEmergency,S2001,Completed,2024-10-25 13:57:36.724
2,AB,1,S2_BasicEmergency,S2002,Completed,2024-10-25 13:57:44.651
3,AB,1,S2_BasicEmergency,S2003,Completed,2024-10-25 13:58:20.244
4,AB,1,S2_BasicEmergency,S2004,Completed,2024-10-25 13:59:31.351
5,AB,1,S2_BasicEmergency,S2005,Completed,2024-10-25 14:0:15.35
6,AB,1,S2_BasicEmergency,S2006,Completed,2024-10-25 14:0:40.998
7,AB,1,S2_BasicEmergency,S2007,Completed,2024-10-25 14:1:12.244
8,AB,1,S2_BasicEmergency,S2008,Completed,2024-10-25 14:1:26.675
9,AB,1,S2_BasicEmergency,S2009,Completed,2024-10-25 14:2:44.897
10,AB,1,S2_BasicEmergency,00002,Completed,2024-10-25 14:3:20.558
