id,user_id,scenario_type,actor_id,actor_name,dose_rate,dose_absortion,event_datetime
0,"AB","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.000073","0.0","2024-10-25 14:1:8.364"
1,"AB","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.004879","0.000001","2024-10-25 14:1:8.835"
2,"AB","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.005057","0.000001","2024-10-25 14:1:9.344"
3,"AB","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.005119","0.000002","2024-10-25 14:1:9.868"
4,"AB","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.007215","0.000003","2024-10-25 14:1:10.399"
5,"AB","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.007227","0.000004","2024-10-25 14:1:10.886"
6,"AB","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.007207","0.000005","2024-10-25 14:1:11.385"
7,"AB","S2_BasicEmergency","3","BP_Dosimeter_SABG100_C_0","0.012509","0.000007","2024-10-25 14:1:11.885"
8,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.071867","2024-10-25 14:1:26.698"
9,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.083621","2024-10-25 14:1:26.803"
10,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.087923","2024-10-25 14:1:26.857"
11,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.095528","2024-10-25 14:1:26.902"
12,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.102217","2024-10-25 14:1:26.959"
13,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.107915","2024-10-25 14:1:27.8"
14,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.127133","2024-10-25 14:1:27.152"
15,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.185437","2024-10-25 14:1:27.642"
16,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.188846","2024-10-25 14:1:27.703"
17,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.250514","2024-10-25 14:1:28.204"
18,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.312262","2024-10-25 14:1:28.731"
19,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.370843","2024-10-25 14:1:29.233"
20,"AB","S2_BasicEmergency","11","BP_RadiationEmissionPoint","421.8","44.413374","2024-10-25 14:1:29.585"
