,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,AA,1,T1,00001,Completed,2024-10-22 13:47:34.201
1,AA,1,T1,T1001,Started,2024-10-22 13:48:09.376
2,AA,1,T1,T1001,Completed,2024-10-22 13:48:47.147
3,AA,1,T1,T1002,Started,2024-10-22 13:48:47.174
4,AA,1,T1,T1002,Completed,2024-10-22 13:49:32.368
5,AA,1,T1,T1003,Started,2024-10-22 13:49:32.391
6,AA,1,T1,T1003,Completed,2024-10-22 13:50:11.770
7,AA,1,T1,T1004,Started,2024-10-22 13:50:11.788
8,AA,1,T1,T1004,Completed,2024-10-22 13:50:49.142
9,AA,1,T1,T1005,Started,2024-10-22 13:50:49.160
10,AA,1,T1,T1005,Completed,2024-10-22 13:51:56.282
11,AA,1,T1,00002,Completed,2024-10-22 13:52:16.458
12,AA,1,S1,00001,Completed,2024-10-22 13:52:21.481
13,AA,1,S1,S1001,Started,2024-10-22 13:52:45.018
14,AA,1,S1,S1001,Completed,2024-10-22 13:52:51.693
15,AA,1,S1,S1002,Started,2024-10-22 13:52:51.703
16,AA,1,S1,S1002,Completed,2024-10-22 13:53:26.806
17,AA,1,S1,S1003,Started,2024-10-22 13:53:26.817
18,AA,1,S1,S1003,Completed,2024-10-22 13:54:57.799
19,AA,1,S1,S1004,Started,2024-10-22 13:54:57.810
20,AA,1,S1,S1004,Completed,2024-10-22 13:55:19.581
21,AA,1,S1,S1005,Started,2024-10-22 13:55:19.592
22,AA,1,S1,S1005,Completed,2024-10-22 13:55:40.773
23,AA,1,S1,00002,Completed,2024-10-22 13:55:40.787
24,AA,1,T2,00001,Completed,2024-10-22 13:55:50.851
25,AA,1,T2,T2001,Started,2024-10-22 13:56:14.156
26,AA,1,T2,T2001,Completed,2024-10-22 13:57:22.452
27,AA,1,T2,T2002,Started,2024-10-22 13:57:22.495
28,AA,1,T2,T2002,Completed,2024-10-22 13:58:57.217
29,AA,1,T2,T2003,Started,2024-10-22 13:58:57.266
30,AA,1,T2,T2003,Completed,2024-10-22 13:59:41.079
31,AA,1,T2,T2004,Started,2024-10-22 13:59:41.127
32,AA,1,T2,T2004,Completed,2024-10-22 14:00:32.478
33,AA,1,T2,T2005,Started,2024-10-22 14:00:32.525
34,AA,1,T2,T2005,Completed,2024-10-22 14:01:54.531
35,AA,1,T2,00002,Completed,2024-10-22 14:02:15.988
36,AA,1,S2,00001,Completed,2024-10-22 14:02:22.196
37,AA,1,S2,S2001,Started,2024-10-22 14:02:22.196
38,AA,1,S2,S2001,Completed,2024-10-22 14:05:08.264
39,AA,1,S2,S2002,Started,2024-10-22 14:05:08.264
40,AA,1,S2,S2002,Completed,2024-10-22 14:05:20.747
41,AA,1,S2,S2003,Started,2024-10-22 14:05:20.747
42,AA,1,S2,S2003,Completed,2024-10-22 14:05:56.206
43,AA,1,S2,S2004,Started,2024-10-22 14:05:56.206
44,AA,1,S2,S2004,Completed,2024-10-22 14:07:32.192
45,AA,1,S2,S2005,Started,2024-10-22 14:07:32.192
46,AA,1,S2,S2005,Completed,2024-10-22 14:08:09.816
47,AA,1,S2,S2006,Started,2024-10-22 14:08:09.816
48,AA,1,S2,S2006,Completed,2024-10-22 14:08:29.541
49,AA,1,S2,S2007,Started,2024-10-22 14:08:29.541
50,AA,1,S2,S2007,Completed,2024-10-22 14:08:50.817
51,AA,1,S2,S2008,Started,2024-10-22 14:08:50.817
52,AA,1,S2,S2008,Completed,2024-10-22 14:09:17.537
53,AA,1,S2,S2009,Started,2024-10-22 14:09:17.537
54,AA,1,S2,S2009,Completed,2024-10-22 14:10:59.161
55,AA,1,S2,00002,Completed,2024-10-22 14:11:27.217
