,index,user_id,experiment_id,scenario_type,input_type,input_state,hand,event_datetime,hand_location,hand_rotation
0,0,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:47:27.663,,
1,1,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:47:27.747,,
2,2,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:47:32.276,,
3,3,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:47:32.427,,
4,4,AA,1,T1,IA_Menu_Interact,started,Left,2024-10-22 13:47:32.620,,
5,5,AA,1,T1,IA_Menu_Interact,completed,Left,2024-10-22 13:47:32.745,,
6,6,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:47:32.856,,
7,7,AA,1,T1,IA_Menu_Interact,started,Left,2024-10-22 13:47:32.898,,
8,8,AA,1,T1,IA_Grab,started,Right,2024-10-22 13:47:32.906,,
9,9,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:47:32.925,,
10,10,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:47:33.243,,
11,11,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:47:33.271,,
12,12,AA,1,T1,IA_Grab,completed,Right,2024-10-22 13:47:33.287,,
13,13,AA,1,T1,IA_Menu_Interact,completed,Left,2024-10-22 13:47:33.296,,
14,14,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:47:37.869,,
15,15,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:47:37.953,,
16,16,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:47:39.744,,
17,17,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:47:39.841,,
18,18,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:47:40.966,,
19,19,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:47:41.078,,
20,20,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:47:41.550,,
21,21,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:47:42.118,,
22,22,AA,1,T1,IA_Grab,started,Right,2024-10-22 13:47:42.647,,
23,23,AA,1,T1,IA_Grab,completed,Right,2024-10-22 13:47:42.896,,
24,24,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:47:43.341,,
25,25,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:47:43.493,,
26,26,AA,1,T1,IA_Move,started,Left,2024-10-22 13:47:44.231,,
27,27,AA,1,T1,IA_Move,completed,Left,2024-10-22 13:47:44.438,,
28,28,AA,1,T1,IA_Move,started,Left,2024-10-22 13:47:45.034,,
29,29,AA,1,T1,IA_Move,completed,Left,2024-10-22 13:47:45.660,,
30,30,AA,1,T1,IA_Move,started,Right,2024-10-22 13:47:46.244,,
31,31,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:47:46.438,,
32,32,AA,1,T1,IA_Move,started,Right,2024-10-22 13:47:47.022,,
33,33,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:47:47.161,,
34,34,AA,1,T1,IA_Move,started,Right,2024-10-22 13:47:47.189,,
35,35,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:47:47.383,,
36,36,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:48:20.582,,
37,37,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:48:20.735,,
38,38,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:48:39.560,,
39,39,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:48:39.671,,
40,40,AA,1,T1,IA_Move,started,Right,2024-10-22 13:48:42.504,,
41,41,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:48:42.864,,
42,42,AA,1,T1,IA_Move,started,Right,2024-10-22 13:48:43.422,,
43,43,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:48:43.995,,
44,44,AA,1,T1,IA_Move,started,Right,2024-10-22 13:48:44.437,,
45,45,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:48:44.852,,
46,46,AA,1,T1,IA_Move,started,Right,2024-10-22 13:48:45.462,,
47,47,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:48:45.878,,
48,48,AA,1,T1,IA_Move,started,Left,2024-10-22 13:48:46.712,,
49,49,AA,1,T1,IA_Move,completed,Left,2024-10-22 13:48:47.128,,
50,50,AA,1,T1,IA_Move,started,Right,2024-10-22 13:48:49.519,,
51,51,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:48:51.478,,
52,52,AA,1,T1,IA_Move,started,Right,2024-10-22 13:48:52.379,,
53,53,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:48:53.640,,
54,54,AA,1,T1,IA_Move,started,Right,2024-10-22 13:48:55.395,,
55,55,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:48:55.557,,
56,56,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:07.550,,
57,57,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:07.661,,
58,58,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:08.313,,
59,59,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:08.437,,
60,60,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:09.286,,
61,61,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:09.631,,
62,62,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:24.237,,
63,63,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:24.306,,
64,64,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:25.905,,
65,65,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:26.124,,
66,66,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:30.725,,
67,67,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:30.973,,
68,68,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:31.438,,
69,69,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:31.598,,
70,70,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:34.047,,
71,71,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:35.198,,
72,72,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:35.680,,
73,73,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:36.512,,
74,74,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:37.250,,
75,75,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:37.412,,
76,76,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:48.792,,
77,77,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:48.941,,
78,78,AA,1,T1,IA_Move,started,Right,2024-10-22 13:49:54.445,,
79,79,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:49:56.598,,
80,80,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:58.553,,
81,81,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:58.636,,
82,82,AA,1,T1,IA_Menu_Interact,started,Right,2024-10-22 13:49:59.272,,
83,83,AA,1,T1,IA_Menu_Interact,completed,Right,2024-10-22 13:49:59.380,,
84,84,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:01.307,,
85,85,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:01.363,,
86,86,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:50:02.317,,
87,87,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:50:03.267,,
88,88,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:50:06.240,,
89,89,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:50:08.112,,
90,90,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:09.473,,
91,91,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:10.160,,
92,92,AA,1,T1,IA_Grab,started,Left,2024-10-22 13:50:11.760,,
93,93,AA,1,T1,IA_Grab,completed,Left,2024-10-22 13:50:13.505,,
94,94,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:14.415,,
95,95,AA,1,T1,IA_Move,completed,Right,2024-10-22 13:50:16.230,,
96,96,AA,1,T1,IA_Move,started,Right,2024-10-22 13:50:16.635,,
