,user_id,experiment_id,scenario_type,actor_id,actor_name,event_type,hand,event_datetime
0,AB,1,T1,3,Dosimeter_SABG100_1,start_detection,Left,2024-10-25 13:44:10.343
1,AB,1,T1,3,Dosimeter_SABG100_1,grab,Left,2024-10-25 13:44:10.699
2,AB,1,T1,3,Dosimeter_SABG100_1,stop_detection,Left,2024-10-25 13:44:10.710
3,AB,1,T1,3,Dosimeter_SABG100_1,release,Left,2024-10-25 13:44:11.892
4,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:14.214
5,AB,1,T1,9,Clamps_1,grab,Right,2024-10-25 13:44:14.529
6,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:14.539
7,AB,1,T1,9,Clamps_1,release,Right,2024-10-25 13:44:16.042
8,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:16.545
9,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:16.573
10,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:19.601
11,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:19.710
12,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:20.699
13,AB,1,T1,9,Clamps_1,grab,Right,2024-10-25 13:44:20.834
14,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:20.845
15,AB,1,T1,9,Clamps_1,release,Right,2024-10-25 13:44:21.680
16,AB,1,T1,4,Dosimeter_EPD_1,start_detection,Right,2024-10-25 13:44:23.907
17,AB,1,T1,4,Dosimeter_EPD_1,grab,Right,2024-10-25 13:44:24.125
18,AB,1,T1,4,Dosimeter_EPD_1,stop_detection,Right,2024-10-25 13:44:24.135
19,AB,1,T1,4,Dosimeter_EPD_1,release,Right,2024-10-25 13:44:26.196
20,AB,1,T1,3,Dosimeter_SABG100_1,start_detection,Left,2024-10-25 13:44:26.283
21,AB,1,T1,3,Dosimeter_SABG100_1,grab,Left,2024-10-25 13:44:26.529
22,AB,1,T1,3,Dosimeter_SABG100_1,stop_detection,Left,2024-10-25 13:44:26.539
23,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:26.878
24,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:27.310
25,AB,1,T1,3,Dosimeter_SABG100_1,release,Left,2024-10-25 13:44:27.426
26,AB,1,T1,9,Clamps_1,start_detection,Right,2024-10-25 13:44:28.617
27,AB,1,T1,9,Clamps_1,stop_detection,Right,2024-10-25 13:44:29.296
28,AB,1,T1,3,Dosimeter_SABG100_3,start_detection,Right,2024-10-25 13:44:44.115
