,user_id,experiment_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,AB,1,T1,real_life,2024-10-25 13:43:19.245,2024-10-25 13:43:21.250,(-2089.416748;169.559616),(-2084.221191;178.624268),0.10448
1,AB,1,T1,real_life,2024-10-25 13:43:21.259,2024-10-25 13:43:27.311,(-2084.221191;178.624268),(-2073.082031;175.849442),0.114796
2,AB,1,T1,virtual_reality,2024-10-25 13:43:32.314,2024-10-25 13:43:32.440,(2103.161133;-333.686188),(2154.511719;-254.584427),0.943078
3,AB,1,T1,virtual_reality,2024-10-25 13:43:33.344,2024-10-25 13:43:33.454,(2148.144043;-250.381165),(2111.757812;-277.12674),0.451584
4,AB,1,T1,virtual_reality,2024-10-25 13:43:34.328,2024-10-25 13:43:34.937,(2113.91333;-278.063538),(2067.601807;-167.335297),1.200229
5,AB,1,T1,real_life,2024-10-25 13:43:27.321,2024-10-25 13:43:40.530,(0.0;0.0),(16.26828;-7.644338),0.179748
6,AB,1,T1,virtual_reality,2024-10-25 13:43:39.402,2024-10-25 13:43:40.593,(2061.428467;-165.464508),(2028.723877;-192.104172),0.421813
7,AB,1,T1,real_life,2024-10-25 13:43:40.540,2024-10-25 13:43:42.044,(0.0;0.0),(-12.503347;4.295544),0.132206
8,AB,1,T1,real_life,2024-10-25 13:43:42.053,2024-10-25 13:43:43.067,(-12.503347;4.295544),(-24.965126;-5.748436),0.160055
9,AB,1,T1,real_life,2024-10-25 13:43:43.077,2024-10-25 13:43:44.094,(-24.965126;-5.748436),(-21.260229;4.483313),0.108819
10,AB,1,T1,real_life,2024-10-25 13:43:44.104,2024-10-25 13:43:47.661,(-21.260229;4.483313),(-22.398808;20.156694),0.157147
11,AB,1,T1,virtual_reality,2024-10-25 13:43:48.114,2024-10-25 13:43:48.323,(2050.649414;-213.595581),(2215.797852;-413.108307),2.589968
12,AB,1,T1,virtual_reality,2024-10-25 13:43:48.809,2024-10-25 13:43:48.958,(2221.231445;-402.417633),(2200.623291;-311.678162),0.930502
13,AB,1,T1,virtual_reality,2024-10-25 13:43:49.321,2024-10-25 13:43:49.474,(2201.703857;-313.857635),(2193.336182;-357.36969),0.443093
14,AB,1,T1,virtual_reality,2024-10-25 13:43:49.836,2024-10-25 13:43:49.973,(2192.095947;-356.452484),(2082.134521;-247.41481),1.54857
15,AB,1,T1,virtual_reality,2024-10-25 13:43:50.349,2024-10-25 13:43:50.460,(2080.494629;-247.536652),(2111.122314;-308.986847),0.686599
16,AB,1,T1,virtual_reality,2024-10-25 13:43:50.765,2024-10-25 13:43:50.917,(2110.108887;-309.876984),(2078.101074;-218.391769),0.969229
17,AB,1,T1,virtual_reality,2024-10-25 13:43:51.891,2024-10-25 13:43:51.960,(2076.112549;-220.479462),(2144.420898;-233.875305),0.696094
18,AB,1,T1,virtual_reality,2024-10-25 13:43:53.073,2024-10-25 13:43:53.154,(2144.250488;-224.866745),(2408.480225;3.085599),3.489693
19,AB,1,T1,virtual_reality,2024-10-25 13:43:54.225,2024-10-25 13:43:56.211,(2410.486084;-3.49977),(3033.916504;-40.468433),6.245257
20,AB,1,T1,virtual_reality,2024-10-25 13:43:57.100,2024-10-25 13:43:57.198,(3036.809082;-34.668324),(3068.497803;4.514849),0.503934
21,AB,1,T1,real_life,2024-10-25 13:43:47.671,2024-10-25 13:43:57.811,(0.0;0.0),(4.96146;15.826097),0.165856
22,AB,1,T1,real_life,2024-10-25 13:43:57.823,2024-10-25 13:43:58.825,(4.96146;15.826097),(13.809115;22.759769),0.112409
23,AB,1,T1,virtual_reality,2024-10-25 13:43:59.015,2024-10-25 13:43:59.221,(3054.381592;-18.318539),(3077.591064;-122.55542),1.067896
24,AB,1,T1,real_life,2024-10-25 13:43:58.835,2024-10-25 13:44:01.356,(0.0;0.0),(10.007605;9.530647),0.138197
25,AB,1,T1,virtual_reality,2024-10-25 13:44:08.493,2024-10-25 13:44:08.951,(3071.143311;-128.659683),(3049.588135;-239.588226),1.130034
26,AB,1,T1,virtual_reality,2024-10-25 13:44:12.389,2024-10-25 13:44:12.474,(3057.545898;-239.785461),(3117.159668;-248.075043),0.601873
27,AB,1,T1,real_life,2024-10-25 13:44:01.365,2024-10-25 13:44:13.979,(0.0;0.0),(-8.09827;7.049976),0.10737
28,AB,1,T1,real_life,2024-10-25 13:44:13.990,2024-10-25 13:44:14.492,(-8.09827;7.049976),(-21.032589;11.394587),0.136445
29,AB,1,T1,real_life,2024-10-25 13:44:14.502,2024-10-25 13:44:15.516,(-21.032589;11.394587),(-10.3866;9.209074),0.10868
30,AB,1,T1,real_life,2024-10-25 13:44:15.526,2024-10-25 13:44:17.547,(-10.3866;9.209074),(-2.080869;-6.622496),0.17878
31,AB,1,T1,real_life,2024-10-25 13:44:17.558,2024-10-25 13:44:19.574,(-2.080869;-6.622496),(-6.50408;5.977072),0.133534
32,AB,1,T1,real_life,2024-10-25 13:44:19.585,2024-10-25 13:44:20.602,(-6.50408;5.977072),(-18.636435;12.991705),0.140142
33,AB,1,T1,real_life,2024-10-25 13:44:20.612,2024-10-25 13:44:22.128,(-18.636435;12.991705),(-7.547228;12.837172),0.110903
34,AB,1,T1,real_life,2024-10-25 13:44:22.137,2024-10-25 13:44:23.129,(-7.547228;12.837172),(-33.786755;21.482786),0.276272
35,AB,1,T1,real_life,2024-10-25 13:44:23.140,2024-10-25 13:44:23.643,(-33.786755;21.482786),(-45.11927;34.138893),0.169883
36,AB,1,T1,real_life,2024-10-25 13:44:23.653,2024-10-25 13:44:25.183,(-45.11927;34.138893),(-14.352346;19.139418),0.342285
37,AB,1,T1,real_life,2024-10-25 13:44:25.194,2024-10-25 13:44:25.686,(-14.352346;19.139418),(9.944552;14.769762),0.246867
38,AB,1,T1,real_life,2024-10-25 13:44:25.697,2024-10-25 13:44:26.209,(9.944552;14.769762),(25.800068;11.405977),0.162084
39,AB,1,T1,real_life,2024-10-25 13:44:26.219,2024-10-25 13:44:27.199,(25.800068;11.405977),(12.333493;4.473478),0.151462
40,AB,1,T1,real_life,2024-10-25 13:44:27.210,2024-10-25 13:44:28.214,(12.333493;4.473478),(-1.12833;-2.723516),0.152649
41,AB,1,T1,real_life,2024-10-25 13:44:28.225,2024-10-25 13:44:29.229,(-1.12833;-2.723516),(-3.271413;-19.235676),0.166507
42,AB,1,T1,virtual_reality,2024-10-25 13:44:29.429,2024-10-25 13:44:29.900,(3118.924316;-226.235519),(3497.026367;-97.7686),3.993306
43,AB,1,T1,virtual_reality,2024-10-25 13:44:30.301,2024-10-25 13:44:30.522,(3499.074707;-104.367523),(4000.477783;26.577269),5.182198
44,AB,1,T1,virtual_reality,2024-10-25 13:44:31.220,2024-10-25 13:44:31.344,(3999.057373;18.448004),(4028.677979;-117.771614),1.394029
45,AB,1,T1,real_life,2024-10-25 13:44:29.240,2024-10-25 13:44:32.783,(0.0;0.0),(9.767284;2.160769),0.100034
46,AB,1,T1,real_life,2024-10-25 13:44:32.793,2024-10-25 13:44:41.936,(9.767284;2.160769),(1.017767;-2.781595),0.100489
47,AB,1,T1,virtual_reality,2024-10-25 13:44:43.026,2024-10-25 13:44:43.290,(4023.243652;-119.449608),(4054.538086;-209.807755),0.956239
48,AB,1,T1,real_life,2024-10-25 13:44:41.946,2024-10-25 13:44:43.962,(0.0;0.0),(4.331711;11.75053),0.125235
49,AB,1,T1,virtual_reality,2024-10-25 13:44:45.085,2024-10-25 13:44:45.385,(4060.146484;-216.576477),(4152.682617;-227.31723),0.931575
50,AB,1,T1,real_life,2024-10-25 13:44:43.972,2024-10-25 13:44:46.512,(0.0;0.0),(-6.73335;9.623165),0.117449
51,AB,1,T1,virtual_reality,2024-10-25 13:44:46.913,2024-10-25 13:44:47.191,(4160.480957;-233.560532),(4240.0;-379.550568),1.662418
52,AB,1,T1,real_life,2024-10-25 13:44:46.524,2024-10-25 13:44:48.030,(0.0;0.0),(24.120888;-10.429071),0.262789
53,AB,1,T1,real_life,2024-10-25 13:44:48.041,2024-10-25 13:44:48.559,(24.120888;-10.429071),(36.524513;-22.2384),0.171263
54,AB,1,T1,virtual_reality,2024-10-25 13:44:50.360,2024-10-25 13:44:50.541,(4209.242676;-352.90387),(4222.70166;-229.526169),1.241096
55,AB,1,T1,real_life,2024-10-25 13:44:48.570,2024-10-25 13:44:51.102,(0.0;0.0),(-0.423021;16.086416),0.16092
56,AB,1,T1,real_life,2024-10-25 13:44:51.112,2024-10-25 13:44:52.655,(-0.423021;16.086416),(9.779823;17.048529),0.102481
