,user_id,experiment_id,scenario_type,actor_id,conversation_index,event_type,event_datetime
0,AB,1,T1,1,0,start_talk_with_npc,2024-10-25 13:45:49.546
1,AB,1,T1,1,0,stop_talk_with_npc,2024-10-25 13:46:13.579
2,AB,1,S1,2,0,start_talk_with_npc,2024-10-25 13:47:13.677
3,AB,1,S1,2,0,stop_talk_with_npc,2024-10-25 13:47:43.041
4,AB,1,S1,2,2,start_talk_with_npc,2024-10-25 13:49:15.025
5,AB,1,S1,2,2,stop_talk_with_npc,2024-10-25 13:49:32.118
6,AB,1,S2,5,0,start_talk_with_npc,2024-10-25 13:57:55.811
7,AB,1,S2,5,0,stop_talk_with_npc,2024-10-25 13:58:20.216
8,AB,1,S2,6,0,start_talk_with_npc,2024-10-25 13:58:52.825
9,AB,1,S2,6,0,stop_talk_with_npc,2024-10-25 13:59:03.443
10,AB,1,S2,6,1,start_talk_with_npc,2024-10-25 13:59:40.447
11,AB,1,S2,6,1,stop_talk_with_npc,2024-10-25 14:00:15.011
