,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,AB,1,T1,MOV_VirtualWorld,started,2024-10-25 13:43:45.198
1,AB,1,T1,MOV_VirtualWorld,completed,2024-10-25 13:43:50.480
2,AB,1,T1,OI_Detection,started,2024-10-25 13:44:18.224
3,AB,1,T1,OI_Detection,completed,2024-10-25 13:44:26.264
4,AB,1,T1,OI_GrabRelease,started,2024-10-25 13:44:42.388
5,AB,1,T1,OI_GrabRelease,completed,2024-10-25 13:44:48.508
6,AB,1,T1,OI_Placement,started,2024-10-25 13:45:16.527
7,AB,1,T1,OI_Placement,completed,2024-10-25 13:45:32.734
8,AB,1,T1,CI_Conversation,started,2024-10-25 13:45:48.406
9,AB,1,T1,CI_Conversation,completed,2024-10-25 13:46:13.599
10,AB,1,T2,RBQ_Functionality,started,2024-10-25 13:50:55.257
11,AB,1,T2,RBQ_Functionality,completed,2024-10-25 13:51:05.521
12,AB,1,T2,OI_WalkieTalkie,started,2024-10-25 13:51:32.973
13,AB,1,T2,OI_WalkieTalkie,completed,2024-10-25 13:52:12.100
14,AB,1,T2,OI_SABG100,started,2024-10-25 13:52:35.705
15,AB,1,T2,OI_SABG100,completed,2024-10-25 13:53:03.584
16,AB,1,T2,OI_EPD,started,2024-10-25 13:53:39.708
17,AB,1,T2,OI_EPD,completed,2024-10-25 13:53:46.950
18,AB,1,T2,HP_Functionality,started,2024-10-25 13:54:19.947
19,AB,1,T2,HP_Functionality,completed,2024-10-25 13:54:37.705
