id,user_id,scenario_type,actor_id,num_of_actors,event_datetime
0,"1","S2_BasicEmergency","[]","[]","2024-6-25 12:7:52.329"
1,"1","S2_BasicEmergency","[]","[]","2024-6-25 12:7:55.186"
2,"1","S2_BasicEmergency","[]","[]","2024-6-25 12:7:55.856"
3,"1","S2_BasicEmergency","[]","[]","2024-6-25 12:7:57.384"
4,"1","S2_BasicEmergency","[]","[]","2024-6-25 12:7:57.996"
5,"1","S2_BasicEmergency","[]","[]","2024-6-25 12:7:59.247"
6,"1","S2_BasicEmergency","[5;]","[1;]","2024-6-25 12:8:33.106"
7,"1","S2_BasicEmergency","[]","[]","2024-6-25 12:9:8.466"
8,"1","S2_BasicEmergency","[2;3;4;]","[10;1;1;]","2024-6-25 12:20:31.279"
9,"3","S2_BasicEmergency","[5;]","[1;]","2024-6-25 14:31:34.896"
10,"3","S2_BasicEmergency","[2;3;4;]","[4;1;1;]","2024-6-25 14:34:18.841"
11,"5","S2_BasicEmergency","[5;]","[1;]","2024-6-25 15:22:40.880"
12,"5","S2_BasicEmergency","[2;3;4;]","[2;1;1;]","2024-6-25 15:26:3.793"
13,"7","S2_BasicEmergency","[2;3;4;5;]","[1;1;1;1;]","2024-6-25 16:9:31.392"
14,"7","S2_BasicEmergency","[2;]","[1;]","2024-6-25 16:16:31.784"
