user_id,scenary_type,start_datetime,end_datetime,start_position,end_position,distance
40,CarAccident,2023-05-04 10:22:11,2023-05-04 10:22:11,X=-9675.054 Y=-1697.840 Z=5.726,X=-9476.260 Y=-1410.985 Z=5.726,3.490054
40,CarAccident,2023-05-04 10:22:13,2023-05-04 10:22:14,X=-9473.890 Y=-1427.152 Z=3.322,X=-9139.783 Y=-1201.890 Z=3.322,4.029521
40,CarAccident,2023-05-04 10:22:35,2023-05-04 10:22:36,X=-9079.542 Y=-1247.743 Z=3.322,X=-9335.563 Y=-1012.316 Z=3.322,3.478114
40,CarAccident,2023-05-04 10:22:36,2023-05-04 10:22:37,X=-9335.923 Y=-1011.670 Z=3.322,X=-9534.891 Y=-833.407 Z=3.322,2.671444
40,CarAccident,2023-05-04 10:22:38,2023-05-04 10:22:39,X=-9535.045 Y=-833.214 Z=3.322,X=-9766.298 Y=-590.715 Z=3.322,3.350879
40,CarAccident,2023-05-04 10:22:43,2023-05-04 10:22:43,X=-9766.309 Y=-590.881 Z=3.322,X=-9980.224 Y=-398.257 Z=3.322,2.878604
40,CarAccident,2023-05-04 10:22:47,2023-05-04 10:22:47,X=-9968.178 Y=-387.468 Z=3.322,X=-10032.266 Y=-83.154 Z=3.322,3.10989
40,CarAccident,2023-05-04 10:22:50,2023-05-04 10:22:50,X=-10038.986 Y=-91.412 Z=3.322,X=-10188.755 Y=-4.279 Z=3.322,1.732705
40,CarAccident,2023-05-04 10:22:51,2023-05-04 10:22:51,X=-10194.148 Y=-18.336 Z=3.322,X=-10191.292 Y=-6.563 Z=3.322,0.12115
40,CarAccident,2023-05-04 10:22:57,2023-05-04 10:22:57,X=-10172.976 Y=-0.955 Z=3.272,X=-10151.660 Y=26.460 Z=3.272,0.347261
40,CarAccident,2023-05-04 10:22:57,2023-05-04 10:22:59,X=-10151.660 Y=26.460 Z=3.272,X=-10166.930 Y=13.967 Z=2.914,0.197322
40,CarAccident,2023-05-04 10:22:59,2023-05-04 10:23:01,X=-10167.075 Y=13.555 Z=2.914,X=-10143.442 Y=33.183 Z=2.914,0.307214
40,CarAccident,2023-05-04 10:23:02,2023-05-04 10:23:04,X=-10145.115 Y=33.705 Z=2.914,X=-10123.717 Y=49.323 Z=2.914,0.264915
40,CarAccident,2023-05-04 10:23:05,2023-05-04 10:23:06,X=-10123.678 Y=49.646 Z=2.914,X=-10099.124 Y=69.444 Z=2.914,0.315413
