user_id,scenary_type,start_datetime,end_datetime,start_position,end_position,distance
41,CarAccident,2023-05-04 11:17:35,2023-05-04 11:17:35,X=-9635.771 Y=-1673.291 Z=5.726,X=-9460.401 Y=-1374.408 Z=5.726,3.465327
41,CarAccident,2023-05-04 11:17:37,2023-05-04 11:17:38,X=-9475.321 Y=-1379.073 Z=3.322,X=-9709.571 Y=-1466.746 Z=3.322,2.501192
41,CarAccident,2023-05-04 11:17:38,2023-05-04 11:17:38,X=-9710.406 Y=-1467.096 Z=3.322,X=-9915.175 Y=-1544.971 Z=3.322,2.190769
41,CarAccident,2023-05-04 11:17:38,2023-05-04 11:17:38,X=-9916.544 Y=-1545.926 Z=3.322,X=-10068.322 Y=-1609.071 Z=3.322,1.643897
41,CarAccident,2023-05-04 11:17:39,2023-05-04 11:17:39,X=-10068.214 Y=-1608.882 Z=5.726,X=-10168.070 Y=-1658.593 Z=5.726,1.115459
41,CarAccident,2023-05-04 11:17:40,2023-05-04 11:17:40,X=-10172.308 Y=-1655.544 Z=5.726,X=-10216.104 Y=-1674.794 Z=5.726,0.478405
41,CarAccident,2023-05-04 11:17:45,2023-05-04 11:17:45,X=-10197.524 Y=-1669.506 Z=5.726,X=-9965.860 Y=-1531.038 Z=5.726,2.698918
41,CarAccident,2023-05-04 11:17:45,2023-05-04 11:17:46,X=-9965.971 Y=-1530.578 Z=3.322,X=-9738.369 Y=-1401.224 Z=3.322,2.617918
41,CarAccident,2023-05-04 11:17:46,2023-05-04 11:17:46,X=-9738.279 Y=-1401.113 Z=3.322,X=-9500.530 Y=-1276.589 Z=3.322,2.68386
41,CarAccident,2023-05-04 11:17:46,2023-05-04 11:17:46,X=-9500.400 Y=-1276.711 Z=3.322,X=-9254.702 Y=-1164.751 Z=3.322,2.700047
41,CarAccident,2023-05-04 11:17:46,2023-05-04 11:17:46,X=-9254.243 Y=-1164.966 Z=3.322,X=-8987.799 Y=-1073.569 Z=3.322,2.816841
41,CarAccident,2023-05-04 11:17:47,2023-05-04 11:17:47,X=-8985.958 Y=-1076.279 Z=3.322,X=-8768.758 Y=-1061.141 Z=3.322,2.177271
41,CarAccident,2023-05-04 11:17:50,2023-05-04 11:17:50,X=-8787.266 Y=-1065.632 Z=3.322,X=-8953.797 Y=-1272.322 Z=3.322,2.654302
41,CarAccident,2023-05-04 11:17:51,2023-05-04 11:17:51,X=-8952.355 Y=-1273.473 Z=3.322,X=-9091.022 Y=-1493.334 Z=3.322,2.599376
41,CarAccident,2023-05-04 11:17:51,2023-05-04 11:17:51,X=-9091.437 Y=-1488.051 Z=3.322,X=-9302.468 Y=-1607.488 Z=3.322,2.424858
41,CarAccident,2023-05-04 11:17:52,2023-05-04 11:17:52,X=-9302.281 Y=-1607.122 Z=5.726,X=-9577.731 Y=-1662.137 Z=5.726,2.808906
41,CarAccident,2023-05-04 11:17:52,2023-05-04 11:17:52,X=-9577.758 Y=-1661.597 Z=5.726,X=-9870.897 Y=-1694.157 Z=5.726,2.949425
41,CarAccident,2023-05-04 11:17:52,2023-05-04 11:17:52,X=-9870.483 Y=-1691.616 Z=5.726,X=-10110.330 Y=-1675.893 Z=5.726,2.403615
41,CarAccident,2023-05-04 11:17:53,2023-05-04 11:17:53,X=-10110.095 Y=-1675.896 Z=5.726,X=-10261.012 Y=-1680.297 Z=5.726,1.509811
41,CarAccident,2023-05-04 11:17:54,2023-05-04 11:17:54,X=-10265.147 Y=-1679.105 Z=5.726,X=-10311.823 Y=-1679.926 Z=5.726,0.46683
41,CarAccident,2023-05-04 11:17:56,2023-05-04 11:17:57,X=-10319.088 Y=-1668.853 Z=5.726,X=-10499.424 Y=-1466.935 Z=5.726,2.707253
41,CarAccident,2023-05-04 11:17:57,2023-05-04 11:17:57,X=-10497.787 Y=-1466.834 Z=3.322,X=-10683.768 Y=-1235.124 Z=3.322,2.971169
41,CarAccident,2023-05-04 11:17:57,2023-05-04 11:17:57,X=-10683.635 Y=-1235.134 Z=3.322,X=-10864.790 Y=-977.966 Z=3.322,3.145669
41,CarAccident,2023-05-04 11:17:57,2023-05-04 11:17:57,X=-10864.524 Y=-977.911 Z=3.322,X=-11023.571 Y=-710.422 Z=3.322,3.112009
41,CarAccident,2023-05-04 11:17:57,2023-05-04 11:17:58,X=-11022.863 Y=-710.310 Z=3.322,X=-11136.312 Y=-432.503 Z=3.322,3.000794
41,CarAccident,2023-05-04 11:18:02,2023-05-04 11:18:02,X=-11100.013 Y=-453.947 Z=3.322,X=-10855.577 Y=-475.093 Z=3.322,2.453485
41,CarAccident,2023-05-04 11:18:03,2023-05-04 11:18:03,X=-10855.345 Y=-476.199 Z=3.322,X=-10591.531 Y=-508.452 Z=3.322,2.657778
41,CarAccident,2023-05-04 11:18:03,2023-05-04 11:18:03,X=-10591.774 Y=-508.598 Z=3.322,X=-10342.262 Y=-535.337 Z=3.322,2.509413
41,CarAccident,2023-05-04 11:18:03,2023-05-04 11:18:03,X=-10342.106 Y=-534.530 Z=3.322,X=-10101.932 Y=-557.254 Z=3.322,2.412474
41,CarAccident,2023-05-04 11:18:03,2023-05-04 11:18:03,X=-10102.118 Y=-556.910 Z=3.322,X=-9862.787 Y=-563.100 Z=3.322,2.394111
