user_id,scenary_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
64,CarAccident,real_life,1686815601,1686815601,X=-9585.053 Y=-1697.848 Z=100.726,X=-14.380 Y=21.253 Z=0.000,0.256604
64,CarAccident,real_life,1686815603,1686815603,X=-9585.053 Y=-1697.848 Z=100.726,X=-10.145 Y=3.144 Z=0.000,0.185971
64,CarAccident,real_life,1686815605,1686815605,X=-9585.053 Y=-1697.848 Z=100.726,X=-25.257 Y=10.570 Z=0.000,0.16838
64,CarAccident,real_life,1686815606,1686815606,X=-9585.053 Y=-1697.848 Z=100.726,X=-17.753 Y=3.879 Z=0.000,0.100533
64,CarAccident,real_life,1686815607,1686815607,X=-9585.053 Y=-1697.848 Z=100.726,X=-0.171 Y=5.677 Z=0.000,0.176737
64,CarAccident,real_life,1686815608,1686815608,X=-9585.053 Y=-1697.848 Z=100.726,X=-8.449 Y=11.721 Z=0.000,0.102497
64,CarAccident,real_life,1686815610,1686815610,X=-9585.053 Y=-1697.848 Z=100.726,X=3.104 Y=8.211 Z=0.000,0.120752
64,CarAccident,real_life,1686815615,1686815615,X=-9585.053 Y=-1697.848 Z=100.726,X=-13.981 Y=5.175 Z=0.000,0.173536
64,CarAccident,real_life,1686815618,1686815618,X=-9585.053 Y=-1697.848 Z=100.726,X=-18.251 Y=18.002 Z=0.000,0.135188
64,CarAccident,real_life,1686815620,1686815620,X=-9585.053 Y=-1697.848 Z=100.726,X=-5.036 Y=16.135 Z=0.000,0.133461
64,CarAccident,real_life,1686815621,1686815621,X=-9585.053 Y=-1697.848 Z=100.726,X=-13.697 Y=4.783 Z=0.000,0.142787
64,CarAccident,real_life,1686815623,1686815623,X=-9585.053 Y=-1697.848 Z=100.726,X=-24.174 Y=8.829 Z=0.000,0.112308
64,CarAccident,real_life,1686815623,1686815623,X=-9585.053 Y=-1697.848 Z=100.726,X=-36.351 Y=10.244 Z=0.000,0.122586
64,CarAccident,virtual_reality,1686815624,1686815624,X=-9611.685 Y=-1679.496 Z=5.726,X=-9825.447 Y=-1729.451 Z=5.726,2.195223
64,CarAccident,real_life,1686815624,1686815624,X=-9585.053 Y=-1697.848 Z=100.726,X=-25.148 Y=20.432 Z=0.000,0.151426
